job_id,title,company,role_family,experience_level,city,country,work_mode,salary_min,salary_currency,salary_period,salary_min_monthly_myr,is_active,application_deadline
job-0000,Intern Data Scientist,Merlion Data,data scientist,intern,Kuala Lumpur,Malaysia,remote,1500.0,MYR,month,1500.0,True,2026-04-15
job-0001,Entry Data Analyst,Penang Analytics,data analyst,entry,Penang,Malaysia,onsite,3000.0,MYR,month,3000.0,False,2025-12-01
job-0002,Mid Data Scientist,Straits Digital,data scientist,mid,Johor Bahru,Malaysia,remote,7000.0,MYR,month,7000.0,True,2026-01-22
job-0003,Mid Data Scientist,Batik Cloud,data scientist,mid,Singapore,Singapore,onsite,,,unknown,,True,2026-03-22
job-0004,Entry Data Analyst,Straits Digital,data analyst,entry,Johor Bahru,Malaysia,onsite,,,unknown,,True,
job-0005,Entry Product Analyst,Hibiscus Labs,product analyst,entry,Johor Bahru,Malaysia,onsite,3000.0,MYR,month,3000.0,False,2025-12-17
job-0006,Intern Sales Analyst,Penang Analytics,sales analyst,intern,Penang,Malaysia,onsite,1500.0,MYR,month,1500.0,True,2026-01-19
job-0007,Junior Business Analyst,Batik Cloud,business analyst,junior,Penang,Malaysia,hybrid,4000.0,MYR,month,4000.0,True,2026-04-16
job-0008,Senior Business Analyst,KualaSoft,business analyst,senior,Cyberjaya,Malaysia,onsite,12000.0,MYR,month,12000.0,True,
job-0009,Senior Software Engineer,Acme Data,software engineer,senior,Cyberjaya,Malaysia,remote,,,unknown,,True,
job-0010,Mid Product Analyst,KualaSoft,product analyst,mid,Penang,Malaysia,unspecified,7000.0,MYR,month,7000.0,False,2025-11-25
job-0011,Entry Product Analyst,Selangor Systems,product analyst,entry,Singapore,Singapore,onsite,2700.0,SGD,month,9450.0,True,2026-02-26
job-0012,Mid Data Analyst,Merlion Data,data analyst,mid,Kuala Lumpur,Malaysia,hybrid,7000.0,MYR,month,7000.0,True,2026-02-13
job-0013,Junior Software Engineer,Merlion Data,software engineer,junior,Cyberjaya,Malaysia,unspecified,4000.0,MYR,month,4000.0,True,2026-03-27
job-0014,Intern Data Analyst,Nusantara Tech,data analyst,intern,Penang,Malaysia,onsite,,,unknown,,True,
job-0015,Senior Data Scientist,Straits Digital,data scientist,senior,Singapore,Singapore,unspecified,10800.0,SGD,month,37800.0,True,2026-01-23
job-0016,Intern Data Scientist,Penang Analytics,data scientist,intern,Kuala Lumpur,Malaysia,unspecified,1500.0,MYR,month,1500.0,False,2025-12-21
job-0017,Junior Business Analyst,Merlion Data,business analyst,junior,Cyberjaya,Malaysia,hybrid,,,unknown,,True,2026-04-24
job-0018,Entry Sales Analyst,KualaSoft,sales analyst,entry,Penang,Malaysia,unspecified,3000.0,MYR,month,3000.0,True,2026-01-18
job-0019,Mid Product Analyst,Merlion Data,product analyst,mid,Singapore,Singapore,unspecified,6300.0,SGD,month,22050.0,True,
job-0020,Mid Data Engineer,Nusantara Tech,data engineer,mid,Singapore,Singapore,hybrid,6300.0,SGD,month,22050.0,True,
job-0021,Senior Data Engineer,Penang Analytics,data engineer,senior,Kuala Lumpur,Malaysia,onsite,12000.0,MYR,month,12000.0,True,2026-02-13
job-0022,Junior Data Scientist,Acme Data,data scientist,junior,Cyberjaya,Malaysia,remote,,,unknown,,True,
job-0023,Entry Data Engineer,KualaSoft,data engineer,entry,Singapore,Singapore,remote,2700.0,SGD,month,9450.0,True,2026-02-11
