scenario_id,job_id,rater_id,relevance_grade
SC-A-01,job-0012,human_adjudicated,3
SC-A-01,job-0088,human_adjudicated,2
SC-A-01,job-0095,human_adjudicated,3
SC-A-01,job-0128,human_adjudicated,2
SC-A-01,job-0136,human_adjudicated,0
SC-A-01,job-0187,human_adjudicated,3
SC-A-01,job-0196,human_adjudicated,0
SC-A-02,job-0012,human_adjudicated,2
SC-A-02,job-0046,human_adjudicated,0
SC-A-02,job-0088,human_adjudicated,2
SC-A-02,job-0128,human_adjudicated,2
SC-A-02,job-0136,human_adjudicated,0
SC-A-02,job-0172,human_adjudicated,0
SC-A-02,job-0175,human_adjudicated,0
SC-A-02,job-0196,human_adjudicated,0
SC-A-03,job-0014,human_adjudicated,0
SC-A-03,job-0031,human_adjudicated,3
SC-A-03,job-0053,human_adjudicated,3
SC-A-03,job-0088,human_adjudicated,3
SC-A-03,job-0124,human_adjudicated,0
SC-A-03,job-0128,human_adjudicated,3
SC-A-03,job-0157,human_adjudicated,0
SC-A-03,job-0173,human_adjudicated,3
SC-A-04,job-0020,human_adjudicated,2
SC-A-04,job-0037,human_adjudicated,0
SC-A-04,job-0038,human_adjudicated,0
SC-A-04,job-0040,human_adjudicated,0
SC-A-04,job-0041,human_adjudicated,3
SC-A-04,job-0043,human_adjudicated,0
SC-A-04,job-0078,human_adjudicated,3
SC-A-04,job-0118,human_adjudicated,2
SC-A-04,job-0146,human_adjudicated,0
SC-A-04,job-0194,human_adjudicated,2
SC-A-05,job-0011,human_adjudicated,3
SC-A-05,job-0066,human_adjudicated,0
SC-A-05,job-0086,human_adjudicated,3
SC-A-05,job-0110,human_adjudicated,3
SC-A-05,job-0116,human_adjudicated,3
SC-A-05,job-0125,human_adjudicated,3
SC-A-05,job-0189,human_adjudicated,0
SC-A-06,job-0058,human_adjudicated,3
SC-A-06,job-0088,human_adjudicated,2
SC-A-06,job-0095,human_adjudicated,3
SC-A-06,job-0113,human_adjudicated,2
SC-A-06,job-0121,human_adjudicated,0
SC-A-06,job-0135,human_adjudicated,0
SC-A-06,job-0136,human_adjudicated,0
SC-A-06,job-0179,human_adjudicated,2
SC-A-06,job-0187,human_adjudicated,3
SC-A-06,job-0194,human_adjudicated,2
SC-A-06,job-0197,human_adjudicated,0
SC-B-01,job-0004,human_adjudicated,1
SC-B-01,job-0012,human_adjudicated,2
SC-B-01,job-0031,human_adjudicated,1
SC-B-01,job-0088,human_adjudicated,2
SC-B-01,job-0128,human_adjudicated,2
SC-B-01,job-0136,human_adjudicated,2
SC-B-01,job-0165,human_adjudicated,2
SC-B-01,job-0187,human_adjudicated,1
SC-B-01,job-0196,human_adjudicated,2
SC-B-02,job-0001,human_adjudicated,0
SC-B-02,job-0004,human_adjudicated,3
SC-B-02,job-0014,human_adjudicated,3
SC-B-02,job-0031,human_adjudicated,3
SC-B-02,job-0053,human_adjudicated,3
SC-B-02,job-0056,human_adjudicated,3
SC-B-02,job-0083,human_adjudicated,0
SC-B-02,job-0124,human_adjudicated,3
SC-B-02,job-0173,human_adjudicated,3
SC-B-03,job-0012,human_adjudicated,2
SC-B-03,job-0088,human_adjudicated,3
SC-B-03,job-0128,human_adjudicated,2
SC-B-03,job-0136,human_adjudicated,3
SC-B-03,job-0172,human_adjudicated,0
SC-B-03,job-0196,human_adjudicated,3
SC-B-04,job-0012,human_adjudicated,2
SC-B-04,job-0088,human_adjudicated,2
SC-B-04,job-0128,human_adjudicated,2
SC-B-04,job-0136,human_adjudicated,0
SC-B-04,job-0165,human_adjudicated,0
SC-B-04,job-0171,human_adjudicated,1
SC-B-04,job-0172,human_adjudicated,0
SC-B-04,job-0187,human_adjudicated,2
SC-B-04,job-0196,human_adjudicated,0
SC-B-05,job-0001,human_adjudicated,0
SC-B-05,job-0007,human_adjudicated,2
SC-B-05,job-0014,human_adjudicated,3
