run_id,scenario_id,variant,claim_id,claim_type,support_status,supported_binary,evidence_count
run-f76ddd87a0274c45,SC-A-01,full,claim-db58e68a276f73f2,candidate_preference,supported,1,2
run-f76ddd87a0274c45,SC-A-01,full,claim-f823f2e2786f5df2,candidate_preference,supported,1,2
run-f76ddd87a0274c45,SC-A-01,full,claim-e101664b3ad6aaa0,candidate_preference,supported,1,1
run-f76ddd87a0274c45,SC-A-01,full,claim-c4877a5cc7a9f05f,ranking_reason,supported,1,4
run-f76ddd87a0274c45,SC-A-01,full,claim-afe921d2dea545a4,ranking_reason,supported,1,4
run-f76ddd87a0274c45,SC-A-01,full,claim-55bbdd72e15ddbd2,ranking_reason,supported,1,2
run-f76ddd87a0274c45,SC-A-01,full,claim-39473ea2ca61fe49,ranking_reason,supported,1,3
run-f76ddd87a0274c45,SC-A-01,full,claim-addeb18eef12d66f,skill_gap,supported,1,1
run-f76ddd87a0274c45,SC-A-01,full,claim-b7ff2fb4dcd929f3,ranking_reason,supported,1,4
run-f76ddd87a0274c45,SC-A-01,full,claim-6835dd660940a973,ranking_reason,supported,1,3
run-f76ddd87a0274c45,SC-A-01,full,claim-7803ebeefceccf40,ranking_reason,supported,1,4
run-f76ddd87a0274c45,SC-A-01,full,claim-bee3b25a4888ad75,ranking_reason,supported,1,3
run-f76ddd87a0274c45,SC-A-01,full,claim-15ec35b6385e963c,skill_gap,supported,1,1
run-f76ddd87a0274c45,SC-A-01,full,claim-2c8b41a54a0fe323,ranking_reason,supported,1,4
run-f76ddd87a0274c45,SC-A-01,full,claim-d2d73c1e6b916eb2,ranking_reason,supported,1,2
run-f76ddd87a0274c45,SC-A-01,full,claim-b9d94b94e9e97f3b,ranking_reason,supported,1,3
run-f76ddd87a0274c45,SC-A-01,full,claim-b8b94ef16903cd53,ranking_reason,supported,1,3
run-f76ddd87a0274c45,SC-A-01,full,claim-32707df50775b05b,skill_gap,supported,1,1
run-f76ddd87a0274c45,SC-A-01,full,claim-8722749428a58b51,ranking_reason,supported,1,4
run-f76ddd87a0274c45,SC-A-01,full,claim-a2629b870c884acf,ranking_reason,supported,1,3
run-f76ddd87a0274c45,SC-A-01,full,claim-63769fa40bf6f326,ranking_reason,supported,1,3
run-f76ddd87a0274c45,SC-A-01,full,claim-26b121ce1a076eb9,ranking_reason,supported,1,3
run-f76ddd87a0274c45,SC-A-01,full,claim-83175074efc3ac0c,skill_gap,supported,1,1
run-f76ddd87a0274c45,SC-A-01,full,claim-888dd8e65ebd1e0c,ranking_reason,supported,1,4
run-f76ddd87a0274c45,SC-A-01,full,claim-1f5aa82c73817981,ranking_reason,supported,1,4
run-f76ddd87a0274c45,SC-A-01,full,claim-d101143515cd53aa,ranking_reason,supported,1,2
run-f76ddd87a0274c45,SC-A-01,full,claim-53a8e419107df166,ranking_reason,supported,1,3
run-f76ddd87a0274c45,SC-A-01,full,claim-c2d68998cb2480b0,skill_gap,supported,1,1
run-3b16805011f27320,SC-A-01,full,claim-db58e68a276f73f2,candidate_preference,supported,1,2
run-3b16805011f27320,SC-A-01,full,claim-f823f2e2786f5df2,candidate_preference,supported,1,2
run-3b16805011f27320,SC-A-01,full,claim-e101664b3ad6aaa0,candidate_preference,supported,1,1
run-3b16805011f27320,SC-A-01,full,claim-c4877a5cc7a9f05f,ranking_reason,supported,1,4
run-3b16805011f27320,SC-A-01,full,claim-afe921d2dea545a4,ranking_reason,supported,1,4
run-3b16805011f27320,SC-A-01,full,claim-55bbdd72e15ddbd2,ranking_reason,supported,1,2
run-3b16805011f27320,SC-A-01,full,claim-39473ea2ca61fe49,ranking_reason,supported,1,3
run-3b16805011f27320,SC-A-01,full,claim-addeb18eef12d66f,skill_gap,supported,1,1
run-3b16805011f27320,SC-A-01,full,claim-b7ff2fb4dcd929f3,ranking_reason,supported,1,4
run-3b16805011f27320,SC-A-01,full,claim-6835dd660940a973,ranking_reason,supported,1,3
run-3b16805011f27320,SC-A-01,full,claim-7803ebeefceccf40,ranking_reason,supported,1,4
run-3b16805011f27320,SC-A-01,full,claim-bee3b25a4888ad75,ranking_reason,supported,1,3
run-3b16805011f27320,SC-A-01,full,claim-15ec35b6385e963c,skill_gap,supported,1,1
run-3b16805011f27320,SC-A-01,full,claim-2c8b41a54a0fe323,ranking_reason,supported,1,4
run-3b16805011f27320,SC-A-01,full,claim-d2d73c1e6b916eb2,ranking_reason,supported,1,2
run-3b16805011f27320,SC-A-01,full,claim-b9d94b94e9e97f3b,ranking_reason,supported,1,3
run-3b16805011f27320,SC-A-01,full,claim-b8b94ef16903cd53,ranking_reason,supported,1,3
run-3b16805011f27320,SC-A-01,full,claim-32707df50775b05b,skill_gap,supported,1,1
run-3b16805011f27320,SC-A-01,full,claim-8722749428a58b51,ranking_reason,supported,1,4
run-3b16805011f27320,SC-A-01,full,claim-a2629b870c884acf,ranking_reason,supported,1,3
run-3b16805011f27320,SC-A-01,full,claim-63769fa40bf6f326,ranking_reason,supported,1,3
run-3b16805011f27320,SC-A-01,full,claim-26b121ce1a076eb9,ranking_reason,supported,1,3
run-3b16805011f27320,SC-A-01,full,claim-83175074efc3ac0c,skill_gap,supported,1,1
run-3b16805011f27320,SC-A-01,full,claim-888dd8e65ebd1e0c,ranking_reason,supported,1,4
run-3b16805011f27320,SC-A-01,full,claim-1f5aa82c73817981,ranking_reason,supported,1,4
run-3b16805011f27320,SC-A-01,full,claim-d101143515cd53aa,ranking_reason,supported,1,2
run-3b16805011f27320,SC-A-01,full,claim-53a8e419107df166,ranking_reason,supported,1,3
run-3b16805011f27320,SC-A-01,full,claim-c2d68998cb2480b0,skill_gap,supported,1,1
run-7c22bffc2124024d,SC-A-01,full,claim-db58e68a276f73f2,candidate_preference,supported,1,2
