experiment_variant,scenario_id,run_index,run_id,success,response_type,no_match,returned,eligible,claims,dropped_claims,response_turns,session_count,candidate_state_version,termination_reason,total_latency_ms,run_dir
full,SC-A-01,0,run-b2352dd1ed543325,True,recommendation,False,5,30,28,0,1,1,1,recommendation,36.534,evaluation\outputs\_runs\exp-e748800507ef\full\SC-A-01\0
full,SC-A-02,0,run-c438463d3f404790,True,recommendation,False,5,29,22,0,1,1,1,recommendation,17.642,evaluation\outputs\_runs\exp-e748800507ef\full\SC-A-02\0
full,SC-A-03,0,run-1c616d2678b5b6b2,True,recommendation,False,5,30,28,0,1,1,1,recommendation,22.154,evaluation\outputs\_runs\exp-e748800507ef\full\SC-A-03\0
full,SC-A-04,0,run-ede426a7d97507f6,True,recommendation,False,5,29,24,0,1,1,1,recommendation,24.336,evaluation\outputs\_runs\exp-e748800507ef\full\SC-A-04\0
full,SC-A-05,0,run-49312534fb8ea618,True,recommendation,False,5,29,23,0,1,1,1,recommendation,20.431,evaluation\outputs\_runs\exp-e748800507ef\full\SC-A-05\0
full,SC-A-06,0,run-48be67dbc9383963,True,recommendation,False,5,31,27,0,1,1,1,recommendation,21.459,evaluation\outputs\_runs\exp-e748800507ef\full\SC-A-06\0
full,SC-B-01,0,run-3e47a1cf36e2acba,True,recommendation,False,5,42,31,0,2,1,1,recommendation,22.802,evaluation\outputs\_runs\exp-e748800507ef\full\SC-B-01\0
full,SC-B-02,0,run-38b470889cb1e29c,True,recommendation,False,5,43,21,0,2,1,1,recommendation,23.973,evaluation\outputs\_runs\exp-e748800507ef\full\SC-B-02\0
full,SC-B-03,0,run-b389002c4e7d4f47,True,recommendation,False,5,43,21,0,2,1,1,recommendation,19.506,evaluation\outputs\_runs\exp-e748800507ef\full\SC-B-03\0
full,SC-B-04,0,run-9b962c728c1a8442,True,recommendation,False,5,6,30,0,2,1,1,recommendation,15.043,evaluation\outputs\_runs\exp-e748800507ef\full\SC-B-04\0
full,SC-B-05,0,run-405c43aa126510bb,True,recommendation,False,5,43,19,0,2,1,1,recommendation,24.279,evaluation\outputs\_runs\exp-e748800507ef\full\SC-B-05\0
full,SC-C-01,0,run-796397a8b2b65296,True,recommendation,False,5,10,28,0,1,1,1,recommendation,21.184,evaluation\outputs\_runs\exp-e748800507ef\full\SC-C-01\0
full,SC-C-02,0,run-7b59f7c08db36187,True,recommendation,False,5,29,29,0,1,1,1,recommendation,22.498,evaluation\outputs\_runs\exp-e748800507ef\full\SC-C-02\0
full,SC-C-03,0,run-a801314ec8936eab,True,recommendation,False,5,10,26,0,1,1,1,recommendation,11.698,evaluation\outputs\_runs\exp-e748800507ef\full\SC-C-03\0
full,SC-C-04,0,run-9b4c700078b068b0,True,recommendation,False,3,3,17,0,1,1,1,recommendation,9.98,evaluation\outputs\_runs\exp-e748800507ef\full\SC-C-04\0
full,SC-C-05,0,run-d53c34a4bb5e660b,True,recommendation,False,5,29,23,0,1,1,1,recommendation,23.278,evaluation\outputs\_runs\exp-e748800507ef\full\SC-C-05\0
full,SC-D-01,0,run-a2cd86f61d4f6869,True,recommendation,False,5,30,26,0,2,1,1,recommendation,18.026,evaluation\outputs\_runs\exp-e748800507ef\full\SC-D-01\0
full,SC-D-02,0,run-97cbc89b9747457c,True,recommendation,False,5,29,31,0,2,1,1,recommendation,29.008,evaluation\outputs\_runs\exp-e748800507ef\full\SC-D-02\0
full,SC-D-03,0,run-d09f6b9b6ea53a04,True,recommendation,False,5,30,26,0,2,1,1,recommendation,17.626,evaluation\outputs\_runs\exp-e748800507ef\full\SC-D-03\0
full,SC-D-04,0,run-3c6f29c109fcfb18,True,recommendation,False,5,23,28,0,2,1,1,recommendation,27.227,evaluation\outputs\_runs\exp-e748800507ef\full\SC-D-04\0
full,SC-D-05,0,run-b237b66ec9f8b5eb,True,recommendation,False,5,25,20,0,2,1,1,recommendation,19.907,evaluation\outputs\_runs\exp-e748800507ef\full\SC-D-05\0
full,SC-E-01,0,run-f63e58a85e6acfd9,True,recommendation,False,2,2,13,0,1,1,1,recommendation,8.771,evaluation\outputs\_runs\exp-e748800507ef\full\SC-E-01\0
full,SC-E-02,0,run-65d691c3a556ded8,True,no_match,True,0,0,3,0,1,1,1,no_match,10.386,evaluation\outputs\_runs\exp-e748800507ef\full\SC-E-02\0
full,SC-E-03,0,run-1a7fb67f5fcb01b8,True,recommendation,False,2,2,13,0,1,1,1,recommendation,10.163,evaluation\outputs\_runs\exp-e748800507ef\full\SC-E-03\0
full,SC-E-04,0,run-1fa1c638442ee1fa,True,no_match,True,0,0,3,0,1,1,1,no_match,13.801,evaluation\outputs\_runs\exp-e748800507ef\full\SC-E-04\0
full,SC-E-05,0,run-5ebdf0ccee210b83,True,recommendation,False,2,2,11,0,1,1,1,recommendation,11.556,evaluation\outputs\_runs\exp-e748800507ef\full\SC-E-05\0
full,SC-F-01,0,run-cf8d9451340d0a1a,True,recommendation,False,5,43,23,0,1,1,1,recommendation,22.335,evaluation\outputs\_runs\exp-e748800507ef\full\SC-F-01\0
