variant,constraint_field,pass,fail,unknown,applicable,compliance,unknown_rate
full,not_expired,170,0,0,170,1.0,0.0
full,preferred_locations,36,0,0,36,1.0,0.0
full,salary_min,125,0,0,125,1.0,0.0
full,work_modes,12,0,0,12,1.0,0.0
no_context,not_expired,175,35,0,210,0.8333333333333334,0.0
no_context,preferred_locations,47,28,0,75,0.6266666666666667,0.0
no_context,salary_min,133,7,25,165,0.806060606060606,0.15151515151515152
no_context,work_modes,16,6,13,35,0.45714285714285713,0.37142857142857144
no_memory,not_expired,129,0,0,129,1.0,0.0
no_memory,preferred_locations,22,2,0,24,0.9166666666666666,0.0
no_memory,salary_min,84,0,0,84,1.0,0.0
no_memory,work_modes,6,0,0,6,1.0,0.0
one_shot,not_expired,94,0,0,94,1.0,0.0
one_shot,preferred_locations,19,0,0,19,1.0,0.0
one_shot,salary_min,74,0,0,74,1.0,0.0
one_shot,work_modes,6,0,0,6,1.0,0.0
profile_only,not_expired,140,0,0,140,1.0,0.0
profile_only,preferred_locations,4,51,0,55,0.07272727272727272,0.0
profile_only,salary_min,77,34,9,120,0.6416666666666667,0.075
profile_only,work_modes,4,14,7,25,0.16,0.28
