scenario_id,job_id,oracle_grade,rater_1,rater_2,notes
SC-A-01,job-0012,3,,,
SC-A-01,job-0136,3,,,
SC-A-01,job-0095,3,,,
SC-A-01,job-0187,3,,,
SC-A-01,job-0196,3,,,
SC-A-02,job-0128,3,,,
SC-A-02,job-0012,3,,,
SC-A-02,job-0136,3,,,
SC-A-02,job-0046,3,,,
SC-A-02,job-0088,3,,,
SC-A-03,job-0031,3,,,
SC-A-03,job-0088,3,,,
SC-A-03,job-0053,3,,,
SC-A-03,job-0173,3,,,
SC-A-03,job-0128,3,,,
SC-A-04,job-0041,3,,,
SC-A-04,job-0078,3,,,
SC-A-04,job-0118,3,,,
SC-A-04,job-0020,2,,,
SC-A-04,job-0194,2,,,
SC-A-05,job-0011,3,,,
SC-A-05,job-0116,3,,,
SC-A-05,job-0110,3,,,
SC-A-05,job-0086,3,,,
SC-A-05,job-0125,3,,,
SC-A-06,job-0058,3,,,
SC-A-06,job-0095,3,,,
SC-A-06,job-0187,3,,,
SC-A-06,job-0113,3,,,
SC-A-06,job-0179,3,,,
SC-C-01,job-0128,3,,,
SC-C-01,job-0136,3,,,
SC-C-01,job-0033,2,,,
SC-C-01,job-0049,2,,,
SC-C-01,job-0153,2,,,
SC-C-02,job-0012,2,,,
SC-C-02,job-0046,2,,,
SC-C-02,job-0142,2,,,
SC-C-02,job-0136,2,,,
SC-C-02,job-0007,2,,,
SC-C-03,job-0136,3,,,
SC-C-03,job-0128,3,,,
SC-C-03,job-0012,3,,,
SC-C-03,job-0033,2,,,
SC-C-03,job-0049,2,,,
SC-C-04,job-0031,3,,,
SC-C-04,job-0053,3,,,
SC-C-04,job-0173,3,,,
SC-C-05,job-0078,3,,,
SC-C-05,job-0041,3,,,
SC-C-05,job-0064,3,,,
SC-C-05,job-0107,3,,,
SC-C-05,job-0111,3,,,
SC-D-01,job-0136,3,,,
SC-D-01,job-0128,3,,,
SC-D-01,job-0088,3,,,
SC-D-01,job-0187,3,,,
SC-D-01,job-0012,3,,,
SC-D-02,job-0007,2,,,
SC-D-02,job-0142,2,,,
SC-D-02,job-0184,2,,,
SC-D-02,job-0053,2,,,
SC-D-02,job-0138,2,,,
SC-D-03,job-0031,3,,,
SC-D-03,job-0053,3,,,
SC-D-03,job-0128,3,,,
SC-D-03,job-0012,3,,,
SC-D-03,job-0136,3,,,
SC-D-04,job-0125,3,,,
SC-D-04,job-0110,3,,,
SC-D-04,job-0070,3,,,
SC-D-04,job-0159,3,,,
SC-D-04,job-0116,3,,,
SC-D-05,job-0078,3,,,
SC-D-05,job-0041,3,,,
SC-D-05,job-0064,3,,,
SC-D-05,job-0107,3,,,
SC-D-05,job-0111,3,,,
SC-D-06,job-0012,3,,,
SC-D-06,job-0136,3,,,
SC-D-06,job-0095,3,,,
SC-D-06,job-0187,3,,,
SC-D-06,job-0196,3,,,
SC-D-07,job-0128,3,,,
SC-D-07,job-0012,3,,,
SC-D-07,job-0136,3,,,
SC-D-07,job-0046,3,,,
SC-D-07,job-0088,3,,,
SC-D-08,job-0031,3,,,
SC-D-08,job-0088,3,,,
SC-D-08,job-0053,3,,,
SC-D-08,job-0173,3,,,
SC-D-08,job-0128,3,,,
SC-D-09,job-0163,2,,,
SC-D-09,job-0021,2,,,
SC-D-09,job-0033,2,,,
SC-D-09,job-0153,2,,,
SC-D-09,job-0169,2,,,
SC-D-10,job-0116,3,,,
SC-D-10,job-0185,0,,,
SC-D-10,job-0161,0,,,
SC-D-10,job-0117,0,,,
SC-D-11,job-0012,3,,,
SC-D-11,job-0136,3,,,
SC-D-11,job-0196,3,,,
SC-D-11,job-0128,3,,,
SC-D-11,job-0049,2,,,
SC-D-12,job-0012,3,,,
SC-D-12,job-0196,3,,,
SC-E-01,job-0012,3,,,
SC-E-01,job-0196,3,,,
SC-E-03,job-0031,3,,,
SC-E-03,job-0173,3,,,
SC-E-05,job-0012,2,,,
SC-E-05,job-0196,2,,,
SC-F-01,job-0136,3,,,
SC-F-01,job-0196,3,,,
SC-F-01,job-0012,3,,,
SC-F-01,job-0165,3,,,
SC-F-01,job-0095,3,,,
SC-F-02,job-0007,3,,,
SC-F-02,job-0138,3,,,
SC-F-02,job-0017,3,,,
SC-F-02,job-0184,3,,,
SC-F-02,job-0053,3,,,
SC-F-03,job-0088,3,,,
SC-F-03,job-0136,3,,,
SC-F-03,job-0031,3,,,
SC-F-03,job-0060,3,,,
SC-F-03,job-0113,3,,,
SC-F-04,job-0116,3,,,
SC-F-04,job-0159,3,,,
SC-F-04,job-0189,3,,,
SC-F-04,job-0195,3,,,
SC-F-04,job-0086,3,,,
