metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,subset,p_value_holm,mcnemar
ndcg_at_5,full,no_context,28,0.947366544378683,0.7144819529451683,0.23288459143351473,0.1528931799903905,0.3303109749286157,3.940021260667102e-05,0.9622759123238244,cohens_dz,all,0.00016539121214472716,
hcsr,full,no_context,28,1.0,0.6571428571428573,0.3428571428571428,0.24285714285714283,0.4499999999999999,3.307824242894543e-05,1.1725285483114576,cohens_dz,all,0.00016539121214472716,
task_success,full,no_context,42,0.9047619047619048,0.30952380952380953,0.5952380952380952,0.4523809523809524,0.7380952380952381,5.293955920339377e-23,1.0,rank_biserial,all,3.1763735522036263e-22,"{'full_only': 75, 'other_only': 0, 'n_discordant': 75, 'p_value': 5.293955920339377e-23}"
grounding,full,no_context,33,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,all,1.0,
mean_violation_count,full,no_context,28,0.0,0.4642857142857143,-0.4642857142857143,-0.6571428571428573,-0.3,3.578619728492695e-05,-0.9248598628299582,cohens_dz,all,0.00016539121214472716,
turn_count,full,no_context,42,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,rank_biserial,all,1.0,
ndcg_at_5,full,no_context,8,0.8924702602756567,0.6087536545808936,0.28371660569476304,0.15750062693449585,0.47496495754867774,0.0078125,1.0780108475302268,cohens_dz,context_dependent,0.0390625,
hcsr,full,no_context,8,1.0,0.4,0.6,0.49999999999999994,0.725,0.0078125,3.24037034920393,cohens_dz,context_dependent,0.0390625,
task_success,full,no_context,15,0.7333333333333333,0.0,0.7333333333333333,0.4666666666666667,0.9333333333333333,2.3283064365386963e-10,1.0,rank_biserial,context_dependent,1.3969838619232178e-09,"{'full_only': 33, 'other_only': 0, 'n_discordant': 33, 'p_value': 2.3283064365386963e-10}"
grounding,full,no_context,13,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,context_dependent,1.0,
mean_violation_count,full,no_context,8,0.0,0.8750000000000001,-0.8750000000000001,-1.3,-0.6000000000000001,0.0078125,-1.5485253142165856,cohens_dz,context_dependent,0.0390625,
turn_count,full,no_context,15,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,rank_biserial,context_dependent,1.0,
