variant,component,median_ms,p95_ms,mean_ms,n
full,explanation,0.512,0.7696000000000001,0.49576190476190485,105
full,filtering,2.098,3.0347999999999993,2.6512285714285717,105
full,intent_extraction,0.3115,0.3955,0.3347380952380953,126
full,memory_merge,0.404,0.466,0.39795238095238095,126
full,ranking,8.211,12.4706,6.372190476190475,105
full,retrieval,6.669,8.6246,6.459123809523809,105
full,total,14.6,22.7375,14.443468253968256,126
no_context,explanation,0.612,0.8805999999999998,0.6323047619047618,105
no_context,filtering,0.616,0.6768,0.6238666666666667,105
no_context,intent_extraction,0.321,0.39475000000000005,0.31732539682539684,126
no_context,memory_merge,0.2995,0.358,0.2998730158730159,126
no_context,ranking,15.143,17.238599999999998,16.379857142857144,105
no_context,retrieval,6.739,8.5168,6.4867333333333335,105
no_context,total,23.3285,26.95825,21.13265079365079,126
no_memory,explanation,0.535,0.7586999999999998,0.4656794871794871,78
no_memory,filtering,2.139,2.558849999999999,2.106089743589744,78
no_memory,intent_extraction,0.3255,0.41125,0.3185396825396825,126
no_memory,memory_merge,0.374,0.42925,0.3742222222222223,126
no_memory,ranking,8.408,13.1077,6.837371794871794,78
no_memory,retrieval,6.7895,8.546949999999999,6.522089743589742,78
no_memory,total,10.4895,22.88475,10.845111111111109,126
one_shot,explanation,0.5315000000000001,0.8140499999999974,0.4929871794871795,78
one_shot,filtering,2.1125,2.4588999999999994,2.050423076923077,78
one_shot,intent_extraction,0.334,0.40874999999999995,0.3191984126984127,126
one_shot,memory_merge,0.377,0.44575,0.39072222222222225,126
one_shot,ranking,8.428,13.1114,6.145999999999999,78
one_shot,retrieval,6.76,9.120699999999998,6.5829487179487165,78
one_shot,total,10.596499999999999,22.868499999999997,10.47157142857143,126
profile_only,explanation,0.5555000000000001,0.72285,1.2789523809523813,84
profile_only,filtering,1.5145,1.8854499999999996,1.4869880952380954,84
profile_only,intent_extraction,0.3145,0.40175000000000005,0.3071984126984126,126
profile_only,memory_merge,0.229,0.26075000000000004,0.2316825396825397,126
profile_only,ranking,11.023,13.17295,11.01429761904762,84
profile_only,retrieval,6.7265,8.4415,6.489654761904764,84
profile_only,total,19.128999999999998,24.106250000000003,14.332714285714285,126
