scenario_type,variant,ndcg_at_5,hcsr,task_success,grounding
ambiguous_role,full,,,1.0,
ambiguous_role,no_context,,,1.0,
ambiguous_role,no_memory,,,1.0,
ambiguous_role,one_shot,,,1.0,
ambiguous_role,profile_only,,,1.0,
clarification,full,,,1.0,
clarification,no_context,,,1.0,
clarification,no_memory,,,1.0,
clarification,one_shot,,,1.0,
clarification,profile_only,,,1.0,
complete,full,0.9735930069185669,1.0,1.0,1.0
complete,no_context,0.7202799315754612,0.7666666666666667,0.16666666666666666,1.0
complete,no_memory,0.9735930069185669,1.0,1.0,1.0
complete,one_shot,0.9735930069185669,1.0,1.0,1.0
complete,profile_only,0.7136506966043914,0.7000000000000001,0.16666666666666666,1.0
multiple_hard,full,0.8693824503117837,1.0,1.0,1.0
multiple_hard,no_context,0.37300593265333093,0.16000000000000003,0.0,1.0
multiple_hard,no_memory,0.8693824503117837,1.0,1.0,1.0
multiple_hard,one_shot,0.8693824503117837,1.0,1.0,1.0
multiple_hard,profile_only,0.04404894057019607,0.04000000000000001,0.0,1.0
no_match,full,,,1.0,1.0
no_match,no_context,,0.0,0.0,1.0
no_match,no_memory,,,1.0,1.0
no_match,one_shot,,,1.0,1.0
no_match,profile_only,,0.0,0.0,1.0
preference_change,full,0.9585820432692626,1.0,1.0,1.0
preference_change,no_context,0.7088245736158892,0.6333333333333334,0.08333333333333333,1.0
preference_change,no_memory,0.9676990280691794,1.0,0.25,1.0
preference_change,one_shot,0.9676990280691794,1.0,0.25,1.0
preference_change,profile_only,0.8135835829783641,0.8,0.16666666666666666,1.0
profile_dialogue_conflict,full,0.9147146661850438,1.0,1.0,1.0
profile_dialogue_conflict,no_context,0.7418816463604097,0.64,0.2,1.0
profile_dialogue_conflict,no_memory,0.9147146661850438,1.0,1.0,1.0
profile_dialogue_conflict,one_shot,0.9147146661850438,1.0,1.0,1.0
profile_dialogue_conflict,profile_only,0.3129942110831427,0.32000000000000006,0.0,1.0
soft_tradeoff,full,1.0,1.0,1.0,1.0
soft_tradeoff,no_context,0.9152099486815959,0.9500000000000001,0.75,1.0
soft_tradeoff,no_memory,1.0,1.0,1.0,1.0
soft_tradeoff,one_shot,1.0,1.0,1.0,1.0
soft_tradeoff,profile_only,1.0,1.0,1.0,1.0
