scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,grounded_claim_count
SC-A-01,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.368666666666666,1.0,1.0,28.0
SC-A-01,no_context,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,23.374666666666666,1.0,1.0,28.0
SC-A-01,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,37.49066666666667,1.0,1.0,28.0
SC-A-01,one_shot,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,17.958666666666666,1.0,1.0,28.0
SC-A-01,profile_only,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.519666666666666,1.0,1.0,22.0
SC-A-02,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.799000000000003,1.0,1.0,22.0
SC-A-02,no_context,complete,easy,none,medium,0.7860137352654725,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,23.709999999999997,0.0,0.75,21.0
SC-A-02,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.258666666666667,1.0,1.0,22.0
SC-A-02,one_shot,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.547,1.0,1.0,22.0
SC-A-02,profile_only,complete,easy,none,medium,0.8687949224876581,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.0,1.0,1.0,1.0,1.0,1.0,22.346,0.0,0.75,19.0
SC-A-03,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,17.859333333333336,1.0,1.0,28.0
SC-A-03,no_context,complete,easy,none,medium,0.8687949224876581,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,24.708,0.0,0.75,28.0
SC-A-03,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,17.840999999999998,1.0,1.0,28.0
SC-A-03,one_shot,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.664,1.0,1.0,28.0
SC-A-03,profile_only,complete,easy,none,medium,0.6843515475204854,0.6,1.8,0.6,0.4000000000000001,0.10000000000000002,0.0,1.0,1.0,1.0,1.0,1.0,19.686333333333334,0.0,0.75,20.0
SC-A-04,full,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.633,1.0,1.0,24.0
SC-A-04,no_context,complete,medium,none,medium,0.5147714448836774,0.6,1.8,0.6,0.4000000000000001,0.10000000000000002,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,26.351,0.0,0.75,23.0
SC-A-04,no_memory,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.504333333333335,1.0,1.0,24.0
SC-A-04,one_shot,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.915666666666667,1.0,1.0,24.0
SC-A-04,profile_only,complete,medium,none,medium,0.5531464700081437,0.4000000000000001,1.2,0.4000000000000001,0.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,23.944,0.0,0.75,14.0
SC-A-05,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.134333333333334,1.0,1.0,23.0
