metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,mcnemar
ndcg_at_5,full,profile_only,21,0.953489463017713,0.5970401162955488,0.35644934672216416,0.21857592657318903,0.5023702381934583,0.0006533107814151376,1.031419415865727,cohens_dz,
task_success,full,profile_only,42,0.9047619047619048,0.3333333333333333,0.5714285714285714,0.40476190476190477,0.7380952380952381,5.238237034277805e-19,0.9230769230769231,rank_biserial,"{'full_only': 75, 'other_only': 3, 'n_discordant': 78, 'p_value': 5.238237034277805e-19}"
hcsr,full,profile_only,21,1.0,0.6000000000000001,0.3999999999999999,0.23809523809523805,0.5714285714285714,0.0005670375762707221,0.9999999999999996,cohens_dz,
ndcg_at_5,full,one_shot,21,0.953489463017713,0.9488750384561672,0.0046144245615458,0.0,0.0138432736846374,0.31731050786291415,0.21821789023599247,cohens_dz,
task_success,full,one_shot,42,0.9047619047619048,0.7380952380952381,0.16666666666666666,0.07142857142857142,0.2857142857142857,9.5367431640625e-07,1.0,rank_biserial,"{'full_only': 21, 'other_only': 0, 'n_discordant': 21, 'p_value': 9.5367431640625e-07}"
hcsr,full,one_shot,21,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,
ndcg_at_5,full,no_memory,21,0.953489463017713,0.9488750384561672,0.0046144245615458,0.0,0.0138432736846374,0.31731050786291415,0.21821789023599247,cohens_dz,
task_success,full,no_memory,42,0.9047619047619048,0.7380952380952381,0.16666666666666666,0.07142857142857142,0.2857142857142857,9.5367431640625e-07,1.0,rank_biserial,"{'full_only': 21, 'other_only': 0, 'n_discordant': 21, 'p_value': 9.5367431640625e-07}"
hcsr,full,no_memory,21,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,
ndcg_at_5,full,no_context,28,0.947366544378683,0.7144819529451683,0.23288459143351473,0.1528931799903905,0.3303109749286157,3.940021260667102e-05,0.9622759123238244,cohens_dz,
task_success,full,no_context,42,0.9047619047619048,0.30952380952380953,0.5952380952380952,0.4523809523809524,0.7380952380952381,5.293955920339377e-23,1.0,rank_biserial,"{'full_only': 75, 'other_only': 0, 'n_discordant': 75, 'p_value': 5.293955920339377e-23}"
hcsr,full,no_context,28,1.0,0.6571428571428573,0.3428571428571428,0.24285714285714283,0.4499999999999999,3.307824242894543e-05,1.1725285483114576,cohens_dz,
