metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,estimand,subset,p_value_holm,scenario_count,total_run_count,repeats_per_scenario,valid_pairs,base_repeat_mean,other_repeat_mean,repeat_mean_delta,mcnemar,discordant_pairs,family
ndcg_at_5,full,no_memory,28,0.9629571893591498,0.9451687473131701,0.0177884420459796,0.0,0.049904507716779456,0.17971249487899976,0.23002415516270408,cohens_dz,scenario_mean_over_repeats,all,0.8985624743949988,,,,,,,,,,primary
hcsr,full,no_memory,28,1.0,0.9857142857142858,0.014285714285714287,0.0,0.042857142857142864,0.31731050786291415,0.1889822365046136,cohens_dz,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
task_success,full,no_memory,42,1.0,0.7619047619047619,0.23809523809523808,0.11904761904761904,0.38095238095238093,0.001953125,1.0,rank_biserial,scenario_binary_majority_vote,all,0.01171875,42.0,84.0,1.0,42.0,1.0,0.7619047619047619,0.23809523809523808,"{'full_only': 10, 'other_only': 0, 'n_discordant': 10, 'p_value': 0.001953125}",10.0,primary
grounding,full,no_memory,33,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
mean_violation_count,full,no_memory,28,0.0,0.014285714285714287,-0.014285714285714287,-0.042857142857142864,0.0,0.31731050786291415,-0.1889822365046136,cohens_dz,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
turn_count,full,no_memory,42,1.5,1.5,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
ndcg_at_5,full,no_memory,7,0.9390819044178885,0.9252386307332511,0.0138432736846374,0.0,0.041529821053912196,1.0,0.37796447300922725,cohens_dz,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
hcsr,full,no_memory,7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
task_success,full,no_memory,16,1.0,0.4375,0.5625,0.3125,0.8125,0.00390625,1.0,rank_biserial,scenario_binary_majority_vote,memory_dependent,0.0234375,16.0,32.0,1.0,16.0,1.0,0.4375,0.5625,"{'full_only': 9, 'other_only': 0, 'n_discordant': 9, 'p_value': 0.00390625}",9.0,primary
grounding,full,no_memory,7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
mean_violation_count,full,no_memory,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
turn_count,full,no_memory,16,1.875,1.875,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
response_turns,full,no_memory,42,1.5,1.5,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,secondary
clarification_efficiency,full,no_memory,42,-1.5,-216.0,214.5,95.33333333333333,333.6666666666667,0.0026997960632601866,0.5159784552030892,cohens_dz,scenario_mean_over_repeats,all,0.005399592126520373,,,,,,,,,,secondary
response_turns,full,no_memory,16,1.875,1.875,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,secondary
clarification_efficiency,full,no_memory,16,-1.875,-564.9375,563.0625,312.8125,813.3125,0.0026997960632601866,1.0978875820670997,cohens_dz,scenario_mean_over_repeats,memory_dependent,0.005399592126520373,,,,,,,,,,secondary
