variant,metric,oracle,human,delta,n_oracle,n_human
full,ndcg_at_5,0.9585347519266849,,,37,
full,precision_at_5,0.9743243243243243,,,37,
full,mean_graded_relevance,2.7283783783783786,,,37,
profile_only,ndcg_at_5,0.5871245380089444,,,24,
profile_only,precision_at_5,0.5833333333333334,,,24,
profile_only,mean_graded_relevance,1.675,,,24,
one_shot,ndcg_at_5,0.9488750384561672,,,21,
one_shot,precision_at_5,1.0,,,21,
one_shot,mean_graded_relevance,2.7809523809523813,,,21,
no_memory,ndcg_at_5,0.9451687473131701,,,28,
no_memory,precision_at_5,0.9857142857142858,,,28,
no_memory,mean_graded_relevance,2.7357142857142853,,,28,
no_context,ndcg_at_5,0.7102998535695819,,,38,
no_context,precision_at_5,0.6578947368421053,,,38,
no_context,mean_graded_relevance,1.8947368421052635,,,38,
