scope,variant,rank,feature,jobs,mean_total_score,mean_normalized_score,mean_weight,mean_contribution,contribution_share,top_driver_jobs,top_driver_share,inactive_jobs,dominant_explanation_code
variant,full,,experience_fit,170,0.7294111529411756,0.8029411764705886,0.07780032352941188,0.0626460470588236,0.0858857817106558,0,0.0,14,experience_in_range
variant,full,,industry_preference,170,0.7294111529411756,0.0,0.0,0.0,0.0,0,0.0,170,industry_not_specified
variant,full,,location_preference,170,0.7294111529411756,0.6764705882352942,0.10732373529411761,0.07543253529411767,0.10341565931635956,0,0.0,55,location_match
variant,full,,preferred_skill_match,170,0.7294111529411756,0.5264611764705878,0.11114344117647057,0.058122970588235304,0.07968478457433556,0,0.0,29,preferred_skill_coverage
variant,full,,required_skill_match,170,0.7294111529411756,0.6048988235294115,0.27785782941176446,0.1696600117647056,0.23259859830850166,63,0.37058823529411766,16,required_skill_coverage
variant,full,,role_match,170,0.7294111529411756,0.8911764705882353,0.27785782941176446,0.24826143529411782,0.34035870481697883,107,0.6294117647058823,3,role_exact
variant,full,,salary_preference,170,0.7294111529411756,0.6059288235294117,0.08122674705882348,0.06496025294117645,0.08905848598453671,0,0.0,43,salary_meets_min
variant,full,,work_mode_preference,170,0.7294111529411756,0.47352941176470587,0.06679080000000007,0.05032790000000005,0.06899798528863296,0,0.0,74,work_mode_match
variant,no_context,,experience_fit,210,0.7409002857142846,0.8361904761904756,0.07850901428571438,0.06576050000000011,0.08875755788999588,0,0.0,11,experience_in_range
variant,no_context,,industry_preference,210,0.7409002857142846,0.0,0.0,0.0,0.0,0,0.0,210,industry_not_specified
variant,no_context,,location_preference,210,0.7409002857142846,0.6476190476190476,0.10906370952380964,0.0736227666666667,0.09936933226539213,0,0.0,74,location_match
variant,no_context,,preferred_skill_match,210,0.7409002857142846,0.5436428571428567,0.11215585238095252,0.06053475714285713,0.0817043241986295,0,0.0,31,preferred_skill_coverage
variant,no_context,,required_skill_match,210,0.7409002857142846,0.6150780952380952,0.28038885238095207,0.17319357142857125,0.23376097265450424,76,0.3619047619047619,17,required_skill_coverage
variant,no_context,,role_match,210,0.7409002857142846,0.9261904761904762,0.28038885238095207,0.2592626095238094,0.3499291531165498,134,0.638095238095238,0,role_exact
variant,no_context,,salary_preference,210,0.7409002857142846,0.5563285714285714,0.07340091428571421,0.059309057142857086,0.0800499855195475,0,0.0,75,salary_meets_min
