metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,estimand,scenario_count,total_run_count,repeats_per_scenario,valid_pairs,base_repeat_mean,other_repeat_mean,repeat_mean_delta,mcnemar,discordant_pairs
ndcg_at_5,full,profile_only,23,0.9575338575379118,0.6126516918354203,0.3448821657024915,0.21366284975454403,0.48390614870239296,0.00043680902321148305,1.0188530415872636,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,profile_only,42,1.0,0.16666666666666666,0.8333333333333334,0.7142857142857143,0.9285714285714286,5.820766091346741e-11,1.0,rank_biserial,scenario_binary_majority_vote,42.0,84.0,1.0,42.0,1.0,0.16666666666666666,0.8333333333333334,"{'full_only': 35, 'other_only': 0, 'n_discordant': 35, 'p_value': 5.820766091346741e-11}",35.0
hcsr,full,profile_only,23,1.0,0.6086956521739131,0.391304347826087,0.2434782608695652,0.5478260869565217,0.0003849740484108278,0.9956292717395834,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
ndcg_at_5,full,one_shot,21,0.953489463017713,0.9488750384561672,0.0046144245615458,0.0,0.0138432736846374,0.31731050786291415,0.21821789023599247,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,one_shot,42,1.0,0.6190476190476191,0.38095238095238093,0.23809523809523808,0.5238095238095238,3.0517578125e-05,1.0,rank_biserial,scenario_binary_majority_vote,42.0,84.0,1.0,42.0,1.0,0.6190476190476191,0.38095238095238093,"{'full_only': 16, 'other_only': 0, 'n_discordant': 16, 'p_value': 3.0517578125e-05}",16.0
hcsr,full,one_shot,21,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,,,,,,,,,
ndcg_at_5,full,no_memory,28,0.9629571893591498,0.9451687473131701,0.0177884420459796,0.0,0.049904507716779456,0.17971249487899976,0.23002415516270408,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,no_memory,42,1.0,0.7619047619047619,0.23809523809523808,0.11904761904761904,0.38095238095238093,0.001953125,1.0,rank_biserial,scenario_binary_majority_vote,42.0,84.0,1.0,42.0,1.0,0.7619047619047619,0.23809523809523808,"{'full_only': 10, 'other_only': 0, 'n_discordant': 10, 'p_value': 0.001953125}",10.0
hcsr,full,no_memory,28,1.0,0.9857142857142858,0.014285714285714287,0.0,0.042857142857142864,0.31731050786291415,0.1889822365046136,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
ndcg_at_5,full,no_context,37,0.9585347519266849,0.7294971469093003,0.2290376050173846,0.16561452739552107,0.30520002954315056,1.7191759138770554e-06,1.0423716818690674,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,no_context,42,1.0,0.16666666666666666,0.8333333333333334,0.7142857142857143,0.9523809523809523,5.820766091346741e-11,1.0,rank_biserial,scenario_binary_majority_vote,42.0,84.0,1.0,42.0,1.0,0.16666666666666666,0.8333333333333334,"{'full_only': 35, 'other_only': 0, 'n_discordant': 35, 'p_value': 5.820766091346741e-11}",35.0
hcsr,full,no_context,37,1.0,0.6810810810810811,0.3189189189189189,0.2378378378378378,0.4054054054054054,1.2065404112255866e-06,1.2061766365559476,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
