metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,subset,p_value_holm,scenario_count,total_run_count,repeats_per_scenario,valid_pairs,mcnemar,discordant_pairs,family
ndcg_at_5,full,no_context,37,0.9585347519266849,0.7294971469093003,0.2290376050173846,0.16561452739552107,0.30520002954315056,1.7191759138770554e-06,1.0423716818690674,cohens_dz,all,6.032702056127933e-06,,,,,,,primary
hcsr,full,no_context,37,1.0,0.6810810810810811,0.3189189189189189,0.2378378378378378,0.4054054054054054,1.2065404112255866e-06,1.2061766365559476,cohens_dz,all,6.032702056127933e-06,,,,,,,primary
task_success,full,no_context,42,1.0,0.16666666666666666,0.8333333333333334,0.7142857142857143,0.9523809523809523,5.820766091346741e-11,1.0,rank_biserial,all,3.4924596548080444e-10,42.0,84.0,1.0,42.0,"{'full_only': 35, 'other_only': 0, 'n_discordant': 35, 'p_value': 5.820766091346741e-11}",35.0,primary
grounding,full,no_context,42,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,all,1.0,,,,,,,primary
mean_violation_count,full,no_context,37,0.0,0.4108108108108108,-0.4108108108108108,-0.5675675675675674,-0.27567567567567564,1.3316541243139559e-06,-0.9138111408669976,cohens_dz,all,6.032702056127933e-06,,,,,,,primary
turn_count,full,no_context,42,1.5,1.5,0.0,0.0,0.0,1.0,0.0,rank_biserial,all,1.0,,,,,,,primary
ndcg_at_5,full,no_context,10,0.9139762082205254,0.6554380784167635,0.25853812980376195,0.15567626402819176,0.4180982822215674,0.001953125,1.0855452410285813,cohens_dz,context_dependent,0.009765625,,,,,,,primary
hcsr,full,no_context,10,1.0,0.4800000000000001,0.5199999999999999,0.3999999999999999,0.6599999999999999,0.001953125,2.2150511535635524,cohens_dz,context_dependent,0.009765625,,,,,,,primary
task_success,full,no_context,15,1.0,0.0,1.0,1.0,1.0,6.103515625e-05,1.0,rank_biserial,context_dependent,0.0003662109375,15.0,30.0,1.0,15.0,"{'full_only': 15, 'other_only': 0, 'n_discordant': 15, 'p_value': 6.103515625e-05}",15.0,primary
grounding,full,no_context,15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,context_dependent,1.0,,,,,,,primary
mean_violation_count,full,no_context,10,0.0,0.74,-0.74,-1.1199999999999999,-0.45999999999999996,0.001953125,-1.2894778154110471,cohens_dz,context_dependent,0.009765625,,,,,,,primary
turn_count,full,no_context,15,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,rank_biserial,context_dependent,1.0,,,,,,,primary
response_turns,full,no_context,42,1.5,1.5,0.0,0.0,0.0,1.0,0.0,rank_biserial,all,1.0,,,,,,,secondary
clarification_efficiency,full,no_context,42,-1.5,-1.5,0.0,0.0,0.0,1.0,0.0,rank_biserial,all,1.0,,,,,,,secondary
response_turns,full,no_context,15,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,rank_biserial,context_dependent,1.0,,,,,,,secondary
clarification_efficiency,full,no_context,15,-1.3333333333333333,-1.3333333333333333,0.0,0.0,0.0,1.0,0.0,rank_biserial,context_dependent,1.0,,,,,,,secondary
