run_id,scenario_id,variant,repeat_index,scenario_type,difficulty,memory_dependency,context_dependency,response_type,success_run,returned_count,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,grounded_claim_count,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,no_match_expected,no_match_returned,clarification_expected,clarification_target,clarification_asked,clarification_asked_slots,clarification_answered,clarification_repeated_slot,clarification_reason_code,response_turns,termination_reason,acceptable_slots,failure_injected,failure_detected,recoverable,recovered,clarification_efficiency
run-0cf38bfabee88bcf,SC-LT-01,full,0,long_term_memory,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,1.0,1,19.976,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-e03a0c4f352ddd27,SC-LT-02,full,0,long_term_memory,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,25,1.0,1.0,1,17.021,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-174941269d52c89d,SC-LT-03,full,0,long_term_memory,hard,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,18,1.0,1.0,1,20.721,1,1.0,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-0d4e9548852d48d8,SC-LT-04,full,0,long_term_memory,hard,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,26,1.0,1.0,1,18.328,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-1967f60327147611,SC-LT-05,full,0,long_term_memory,medium,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,25,1.0,1.0,1,15.72,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-039600a9cb2b4083,SC-LT-01,no_memory,0,long_term_memory,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,25,1.0,1.0,1,16.665,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-2c6f96025386d1ef,SC-LT-02,no_memory,0,long_term_memory,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,25,1.0,1.0,1,18.827,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-26d99b72180f23b7,SC-LT-03,no_memory,0,long_term_memory,hard,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,1.0,1,13.523,1,1.0,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-55e0a96e42affcd3,SC-LT-04,no_memory,0,long_term_memory,hard,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,26,1.0,1.0,1,15.028,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-76d7f4f73d75753f,SC-LT-05,no_memory,0,long_term_memory,medium,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,25,1.0,1.0,1,16.165,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
