scope,variant,rank,feature,jobs,mean_total_score,mean_normalized_score,mean_weight,mean_contribution,contribution_share,top_driver_jobs,top_driver_share,inactive_jobs,dominant_explanation_code
variant,full,,experience_fit,25,0.7373179600000002,0.8039999999999999,0.07714199999999999,0.06196895999999999,0.08404645398845292,0,0.0,1,experience_in_range
variant,full,,industry_preference,25,0.7373179600000002,0.0,0.0,0.0,0.0,0,0.0,25,industry_not_specified
variant,full,,location_preference,25,0.7373179600000002,0.68,0.11020299999999997,0.07436924000000002,0.10086454424628419,0,0.0,8,location_match
variant,full,,preferred_skill_match,25,0.7373179600000002,0.646656,0.11020299999999997,0.07180044000000002,0.09738056563819494,0,0.0,0,preferred_skill_coverage
variant,full,,required_skill_match,25,0.7373179600000002,0.5,0.27550639999999993,0.13775319999999996,0.18683011600585445,0,0.0,0,required_skill_coverage
variant,full,,role_match,25,0.7373179600000002,1.0,0.27550639999999993,0.27550639999999993,0.3736602320117089,25,1.0,0,role_exact
variant,full,,salary_preference,25,0.7373179600000002,0.7836,0.11020299999999997,0.08705372,0.11806808557871015,0,0.0,0,salary_meets_min
variant,full,,work_mode_preference,25,0.7373179600000002,0.28,0.0412372,0.028866,0.03915000253079417,0,0.0,17,work_mode_not_specified
variant,no_memory,,experience_fit,25,0.7547115200000001,0.8279999999999998,0.08254979999999998,0.06858527999999998,0.09087615357984728,0,0.0,1,experience_in_range
variant,no_memory,,industry_preference,25,0.7547115200000001,0.0,0.0,0.0,0.0,0,0.0,25,industry_not_specified
variant,no_memory,,location_preference,25,0.7547115200000001,0.48,0.09195439999999998,0.05517264,0.07310427698254825,0,0.0,13,location_match
variant,no_memory,,preferred_skill_match,25,0.7547115200000001,0.7066559999999998,0.1179283999999999,0.0830162,0.10999726094018016,0,0.0,0,preferred_skill_coverage
variant,no_memory,,required_skill_match,25,0.7547115200000001,0.5,0.29481979999999997,0.14740999999999999,0.19531966333308387,0,0.0,0,required_skill_coverage
variant,no_memory,,role_match,25,0.7547115200000001,1.0,0.29481979999999997,0.29481979999999997,0.39063906166425016,25,1.0,0,role_exact
variant,no_memory,,salary_preference,25,0.7547115200000001,0.8936800000000001,0.1179283999999999,0.10570759999999994,0.14006358350009013,0,0.0,0,salary_meets_min
variant,no_memory,,work_mode_preference,25,0.7547115200000001,0.0,0.0,0.0,0.0,0,0.0,25,work_mode_not_specified
variant_rank,full,1.0,experience_fit,5,0.7781243999999999,0.76,0.077142,0.0588268,0.07560076512187512,0,0.0,0,slightly_below_min
variant_rank,full,1.0,industry_preference,5,0.7781243999999999,0.0,0.0,0.0,0.0,0,0.0,5,industry_not_specified
variant_rank,full,1.0,location_preference,5,0.7781243999999999,1.0,0.11020300000000001,0.11020300000000001,0.141626454587467,0,0.0,0,location_match
variant_rank,full,1.0,preferred_skill_match,5,0.7781243999999999,0.39997999999999995,0.11020300000000001,0.0443948,0.0570536022260708,0,0.0,0,preferred_skill_coverage
variant_rank,full,1.0,required_skill_match,5,0.7781243999999999,0.5,0.2755064,0.1377532,0.1770323614064795,0,0.0,0,required_skill_coverage
variant_rank,full,1.0,role_match,5,0.7781243999999999,1.0,0.2755064,0.2755064,0.354064722812959,5,1.0,0,role_exact
variant_rank,full,1.0,salary_preference,5,0.7781243999999999,1.0,0.11020300000000001,0.11020300000000001,0.141626454587467,0,0.0,0,salary_meets_min
variant_rank,full,1.0,work_mode_preference,5,0.7781243999999999,0.4,0.0412372,0.0412372,0.052995639257681686,0,0.0,3,work_mode_not_specified
variant_rank,full,2.0,experience_fit,5,0.7494580000000001,0.8800000000000001,0.077142,0.0674868,0.09004747430809998,0,0.0,0,experience_in_range
variant_rank,full,2.0,industry_preference,5,0.7494580000000001,0.0,0.0,0.0,0.0,0,0.0,5,industry_not_specified
variant_rank,full,2.0,location_preference,5,0.7494580000000001,1.0,0.11020300000000001,0.11020300000000001,0.14704359683931587,0,0.0,0,location_match
variant_rank,full,2.0,preferred_skill_match,5,0.7494580000000001,0.59998,0.11020300000000001,0.06422320000000001,0.08569286070733782,0,0.0,0,preferred_skill_coverage
variant_rank,full,2.0,required_skill_match,5,0.7494580000000001,0.5,0.2755064,0.1377532,0.18380376218547267,0,0.0,0,required_skill_coverage
variant_rank,full,2.0,role_match,5,0.7494580000000001,1.0,0.2755064,0.2755064,0.36760752437094535,5,1.0,0,role_exact
variant_rank,full,2.0,salary_preference,5,0.7494580000000001,0.6456000000000001,0.11020300000000001,0.07366700000000001,0.09829370024737877,0,0.0,0,salary_meets_min
variant_rank,full,2.0,work_mode_preference,5,0.7494580000000001,0.2,0.0412372,0.020618400000000002,0.027511081341449417,0,0.0,3,work_mode_not_specified
variant_rank,full,3.0,experience_fit,5,0.732556,1.0,0.077142,0.077142,0.10530525993917188,0,0.0,0,experience_in_range
variant_rank,full,3.0,industry_preference,5,0.732556,0.0,0.0,0.0,0.0,0,0.0,5,industry_not_specified
variant_rank,full,3.0,location_preference,5,0.732556,0.8,0.11020300000000001,0.0872144,0.11905492549375064,0,0.0,1,location_match
variant_rank,full,3.0,preferred_skill_match,5,0.732556,0.73332,0.11020300000000001,0.0827102,0.11290631705971967,0,0.0,0,preferred_skill_coverage
variant_rank,full,3.0,required_skill_match,5,0.732556,0.5,0.2755064,0.1377532,0.1880446000032762,0,0.0,0,required_skill_coverage
variant_rank,full,3.0,role_match,5,0.732556,1.0,0.2755064,0.2755064,0.3760892000065524,5,1.0,0,role_exact
variant_rank,full,3.0,salary_preference,5,0.732556,0.27240000000000003,0.11020300000000001,0.030992600000000002,0.04230748229486893,0,0.0,0,salary_partial
variant_rank,full,3.0,work_mode_preference,5,0.732556,0.4,0.0412372,0.0412372,0.05629221520266028,0,0.0,3,work_mode_not_specified
variant_rank,full,4.0,experience_fit,5,0.7181682,0.6799999999999999,0.077142,0.052390000000000006,0.07294948453579538,0,0.0,1,above_range
variant_rank,full,4.0,industry_preference,5,0.7181682,0.0,0.0,0.0,0.0,0,0.0,5,industry_not_specified
variant_rank,full,4.0,location_preference,5,0.7181682,0.2,0.11020300000000001,0.0229886,0.032010050013353414,0,0.0,4,location_mismatch
variant_rank,full,4.0,preferred_skill_match,5,0.7181682,0.7,0.11020300000000001,0.07808980000000001,0.10873469474142687,0,0.0,0,preferred_skill_coverage
variant_rank,full,4.0,required_skill_match,5,0.7181682,0.5,0.2755064,0.1377532,0.19181189030647694,0,0.0,0,required_skill_coverage
variant_rank,full,4.0,role_match,5,0.7181682,1.0,0.2755064,0.2755064,0.3836237806129539,5,1.0,0,role_exact
variant_rank,full,4.0,salary_preference,5,0.7181682,1.0,0.11020300000000001,0.11020300000000001,0.15345012491502688,0,0.0,0,salary_meets_min
variant_rank,full,4.0,work_mode_preference,5,0.7181682,0.4,0.0412372,0.0412372,0.05741997487496662,0,0.0,3,work_mode_not_specified
variant_rank,full,5.0,experience_fit,5,0.7082832000000001,0.7,0.077142,0.05399919999999999,0.07623956067290596,0,0.0,0,above_range
variant_rank,full,5.0,industry_preference,5,0.7082832000000001,0.0,0.0,0.0,0.0,0,0.0,5,industry_not_specified
variant_rank,full,5.0,location_preference,5,0.7082832000000001,0.4,0.11020300000000001,0.0412372,0.05822134423066931,0,0.0,3,location_mismatch
variant_rank,full,5.0,preferred_skill_match,5,0.7082832000000001,0.8,0.11020300000000001,0.0895842,0.12648076362675267,0,0.0,0,preferred_skill_coverage
variant_rank,full,5.0,required_skill_match,5,0.7082832000000001,0.5,0.2755064,0.1377532,0.19448887111821936,0,0.0,0,required_skill_coverage
variant_rank,full,5.0,role_match,5,0.7082832000000001,1.0,0.2755064,0.2755064,0.3889777422364387,5,1.0,0,role_exact
variant_rank,full,5.0,salary_preference,5,0.7082832000000001,1.0,0.11020300000000001,0.11020300000000001,0.15559171811501388,0,0.0,0,salary_meets_min
variant_rank,full,5.0,work_mode_preference,5,0.7082832000000001,0.0,0.0412372,0.0,0.0,0,0.0,5,work_mode_not_specified
variant_rank,no_memory,1.0,experience_fit,5,0.7882982000000001,0.82,0.0825498,0.06806699999999999,0.08634676572900964,0,0.0,0,slightly_below_min
variant_rank,no_memory,1.0,industry_preference,5,0.7882982000000001,0.0,0.0,0.0,0.0,0,0.0,5,industry_not_specified
variant_rank,no_memory,1.0,location_preference,5,0.7882982000000001,0.8,0.0919544,0.0919544,0.11664925785698864,0,0.0,1,location_match
variant_rank,no_memory,1.0,preferred_skill_match,5,0.7882982000000001,0.5666599999999999,0.1179284,0.0681186,0.08641222319168052,0,0.0,0,preferred_skill_coverage
variant_rank,no_memory,1.0,required_skill_match,5,0.7882982000000001,0.5,0.29481979999999997,0.14740999999999999,0.18699776302926988,0,0.0,0,required_skill_coverage
variant_rank,no_memory,1.0,role_match,5,0.7882982000000001,1.0,0.29481979999999997,0.29481979999999997,0.3739952723474441,5,1.0,0,role_exact
variant_rank,no_memory,1.0,salary_preference,5,0.7882982000000001,1.0,0.1179284,0.1179284,0.14959871784560716,0,0.0,0,salary_meets_min
variant_rank,no_memory,1.0,work_mode_preference,5,0.7882982000000001,0.0,0.0,0.0,0.0,0,0.0,5,work_mode_not_specified
variant_rank,no_memory,2.0,experience_fit,5,0.7713470000000001,0.76,0.0825498,0.06261239999999998,0.08117280549480323,0,0.0,0,slightly_below_min
variant_rank,no_memory,2.0,industry_preference,5,0.7713470000000001,0.0,0.0,0.0,0.0,0,0.0,5,industry_not_specified
variant_rank,no_memory,2.0,location_preference,5,0.7713470000000001,0.8,0.0919544,0.0919544,0.11921275379303996,0,0.0,1,location_match
variant_rank,no_memory,2.0,preferred_skill_match,5,0.7713470000000001,0.46663999999999994,0.1179284,0.056622000000000006,0.07340665096253696,0,0.0,0,preferred_skill_coverage
variant_rank,no_memory,2.0,required_skill_match,5,0.7713470000000001,0.5,0.29481979999999997,0.14740999999999999,0.19110724485866928,0,0.0,0,required_skill_coverage
variant_rank,no_memory,2.0,role_match,5,0.7713470000000001,1.0,0.29481979999999997,0.29481979999999997,0.3822142304306621,5,1.0,0,role_exact
variant_rank,no_memory,2.0,salary_preference,5,0.7713470000000001,1.0,0.1179284,0.1179284,0.15288631446028828,0,0.0,0,salary_meets_min
variant_rank,no_memory,2.0,work_mode_preference,5,0.7713470000000001,0.0,0.0,0.0,0.0,0,0.0,5,work_mode_not_specified
variant_rank,no_memory,3.0,experience_fit,5,0.7511814,1.0,0.0825498,0.0825498,0.10989329608001476,0,0.0,0,experience_in_range
variant_rank,no_memory,3.0,industry_preference,5,0.7511814,0.0,0.0,0.0,0.0,0,0.0,5,industry_not_specified
variant_rank,no_memory,3.0,location_preference,5,0.7511814,0.6,0.0919544,0.0689658,0.0918097812326024,0,0.0,2,location_match
variant_rank,no_memory,3.0,preferred_skill_match,5,0.7511814,0.8666599999999999,0.1179284,0.1006116,0.13393782114413375,0,0.0,0,preferred_skill_coverage
variant_rank,no_memory,3.0,required_skill_match,5,0.7511814,0.5,0.29481979999999997,0.14740999999999999,0.1962375532727514,0,0.0,0,required_skill_coverage
variant_rank,no_memory,3.0,role_match,5,0.7511814,1.0,0.29481979999999997,0.29481979999999997,0.3924748402982288,5,1.0,0,role_exact
variant_rank,no_memory,3.0,salary_preference,5,0.7511814,0.4683999999999999,0.1179284,0.0568244,0.07564670797226875,0,0.0,0,salary_partial
variant_rank,no_memory,3.0,work_mode_preference,5,0.7511814,0.0,0.0,0.0,0.0,0,0.0,5,work_mode_not_specified
variant_rank,no_memory,4.0,experience_fit,5,0.7387218,0.8,0.0825498,0.06645780000000001,0.08996323108374495,0,0.0,1,experience_in_range
variant_rank,no_memory,4.0,industry_preference,5,0.7387218,0.0,0.0,0.0,0.0,0,0.0,5,industry_not_specified
variant_rank,no_memory,4.0,location_preference,5,0.7387218,0.2,0.0919544,0.0229886,0.031119428179864194,0,0.0,4,location_mismatch
variant_rank,no_memory,4.0,preferred_skill_match,5,0.7387218,0.76666,0.1179284,0.08911720000000001,0.12063702465528973,0,0.0,0,preferred_skill_coverage
variant_rank,no_memory,4.0,required_skill_match,5,0.7387218,0.5,0.29481979999999997,0.14740999999999999,0.19954738035347,0,0.0,0,required_skill_coverage
variant_rank,no_memory,4.0,role_match,5,0.7387218,1.0,0.29481979999999997,0.29481979999999997,0.39909448996902486,5,1.0,0,role_exact
variant_rank,no_memory,4.0,salary_preference,5,0.7387218,1.0,0.1179284,0.1179284,0.15963844575860628,0,0.0,0,salary_meets_min
variant_rank,no_memory,4.0,work_mode_preference,5,0.7387218,0.0,0.0,0.0,0.0,0,0.0,5,work_mode_not_specified
variant_rank,no_memory,5.0,experience_fit,5,0.7240092,0.76,0.0825498,0.06323939999999999,0.08734612764589177,0,0.0,0,above_range
variant_rank,no_memory,5.0,industry_preference,5,0.7240092,0.0,0.0,0.0,0.0,0,0.0,5,industry_not_specified
variant_rank,no_memory,5.0,location_preference,5,0.7240092,0.0,0.0919544,0.0,0.0,0,0.0,5,location_mismatch
variant_rank,no_memory,5.0,preferred_skill_match,5,0.7240092,0.8666599999999999,0.1179284,0.1006116,0.13896453249489094,0,0.0,0,preferred_skill_coverage
variant_rank,no_memory,5.0,required_skill_match,5,0.7240092,0.5,0.29481979999999997,0.14740999999999999,0.20360238516306145,0,0.0,0,required_skill_coverage
variant_rank,no_memory,5.0,role_match,5,0.7240092,1.0,0.29481979999999997,0.29481979999999997,0.40720449408653914,5,1.0,0,role_exact
variant_rank,no_memory,5.0,salary_preference,5,0.7240092,1.0,0.1179284,0.1179284,0.16288246060961656,0,0.0,0,salary_meets_min
variant_rank,no_memory,5.0,work_mode_preference,5,0.7240092,0.0,0.0,0.0,0.0,0,0.0,5,work_mode_not_specified
