variant,constraint_field,pass,fail,unknown,applicable,compliance,unknown_rate
full,not_expired,170,0,0,170,1.0,0.0
full,preferred_locations,21,0,0,21,1.0,0.0
full,salary_min,125,0,0,125,1.0,0.0
full,work_modes,8,0,3,11,0.7272727272727273,0.2727272727272727
no_context,not_expired,175,35,0,210,0.8333333333333334,0.0
no_context,preferred_locations,37,23,0,60,0.6166666666666667,0.0
no_context,salary_min,133,7,25,165,0.806060606060606,0.15151515151515152
no_context,work_modes,15,5,10,30,0.5,0.3333333333333333
no_memory,not_expired,129,0,0,129,1.0,0.0
no_memory,preferred_locations,19,0,0,19,1.0,0.0
no_memory,salary_min,84,0,0,84,1.0,0.0
no_memory,work_modes,7,1,3,11,0.6363636363636364,0.2727272727272727
one_shot,not_expired,94,0,0,94,1.0,0.0
one_shot,preferred_locations,19,0,0,19,1.0,0.0
one_shot,salary_min,74,0,0,74,1.0,0.0
one_shot,work_modes,7,1,3,11,0.6363636363636364,0.2727272727272727
profile_only,not_expired,140,0,0,140,1.0,0.0
profile_only,preferred_locations,4,51,0,55,0.07272727272727272,0.0
profile_only,salary_min,77,34,9,120,0.6416666666666667,0.075
profile_only,work_modes,5,16,9,30,0.16666666666666666,0.3
