variant,component,median_ms,p95_ms,mean_ms,n
full,explanation,0.583,1.0126,0.6023809523809524,42
full,filtering,2.123,3.7669999999999972,2.3293809523809523,42
full,intent_extraction,0.339,0.5166499999999999,0.46461904761904754,42
full,memory_merge,0.418,0.6613499999999999,0.456047619047619,42
full,ranking,8.961500000000001,14.431349999999998,8.09307142857143,42
full,retrieval,6.2055,9.991499999999998,6.588380952380952,42
full,total,19.658,28.951199999999993,19.38842857142857,42
no_context,explanation,0.5974999999999999,1.2881999999999998,0.7004285714285714,42
no_context,filtering,0.531,1.1118499999999987,0.6256666666666666,42
no_context,intent_extraction,0.3225,0.6036999999999999,0.35842857142857143,42
no_context,memory_merge,0.3385,0.6311499999999997,0.37926190476190474,42
no_context,ranking,15.595500000000001,18.435399999999998,15.758166666666668,42
no_context,retrieval,6.500500000000001,9.586749999999999,7.4707857142857135,42
no_context,total,24.929000000000002,31.094749999999998,26.083309523809515,42
no_memory,explanation,0.503,0.8438,0.5017272727272728,33
no_memory,filtering,2.028,3.5373999999999994,2.152878787878788,33
no_memory,intent_extraction,0.344,0.6085499999999999,0.39007142857142857,42
no_memory,memory_merge,0.4085,0.8627499999999997,0.48195238095238097,42
no_memory,ranking,9.25,15.741799999999998,7.712151515151515,33
no_memory,retrieval,6.86,20.51039999999997,8.814545454545454,33
no_memory,total,17.9375,35.10354999999996,16.67957142857143,42
one_shot,explanation,0.598,1.89975,0.6910384615384615,26
one_shot,filtering,1.8730000000000002,3.03825,2.0838076923076922,26
one_shot,intent_extraction,0.3365,0.5508000000000001,0.3714523809523809,42
one_shot,memory_merge,0.4015,0.67035,0.4587380952380952,42
one_shot,ranking,8.880500000000001,14.85775,7.1367692307692305,26
one_shot,retrieval,6.2059999999999995,8.866499999999998,6.638192307692307,26
one_shot,total,10.756,26.922649999999994,11.748142857142858,42
profile_only,explanation,0.5825,1.09805,1.1114285714285714,28
profile_only,filtering,1.3955,2.60245,1.581392857142857,28
profile_only,intent_extraction,0.3585,0.7404999999999995,0.40397619047619054,42
profile_only,memory_merge,0.2735,0.45285,0.3123333333333334,42
profile_only,ranking,12.074,16.962699999999998,13.242642857142858,28
profile_only,retrieval,6.5495,10.266449999999997,6.787250000000001,28
profile_only,total,19.497500000000002,27.3471,16.50795238095238,42
