metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,estimand,subset,p_value_holm,scenario_count,total_run_count,repeats_per_scenario,valid_pairs,base_repeat_mean,other_repeat_mean,repeat_mean_delta,mcnemar,discordant_pairs,family
ndcg_at_5,full,no_memory,28,0.9440631315556106,0.9380548576018973,0.006008273953713254,-0.011823914774164038,0.026387918214144452,0.5929800980174267,0.11436501857724186,cohens_dz,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
hcsr,full,no_memory,28,0.9785714285714285,0.9714285714285714,0.0071428571428571435,0.0,0.021428571428571432,0.31731050786291415,0.1889822365046136,cohens_dz,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
task_success,full,no_memory,42,0.9761904761904762,0.7619047619047619,0.21428571428571427,0.09523809523809523,0.3333333333333333,0.00390625,1.0,rank_biserial,scenario_binary_majority_vote,all,0.0234375,42.0,84.0,1.0,42.0,0.9761904761904762,0.7619047619047619,0.21428571428571427,"{'full_only': 9, 'other_only': 0, 'n_discordant': 9, 'p_value': 0.00390625}",9.0,primary
grounding,full,no_memory,33,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
mean_violation_count,full,no_memory,28,0.02142857142857143,0.028571428571428574,-0.007142857142857145,-0.021428571428571436,0.0,0.31731050786291415,-0.18898223650461363,cohens_dz,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
turn_count,full,no_memory,42,1.5,1.5,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
ndcg_at_5,full,no_memory,7,0.8752456858476233,0.830832945772339,0.044412740075284195,0.0,0.10555167285657781,0.5,0.5348419226646027,cohens_dz,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
hcsr,full,no_memory,7,0.9142857142857144,0.8857142857142858,0.028571428571428574,0.0,0.08571428571428573,1.0,0.3779644730092272,cohens_dz,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
task_success,full,no_memory,16,0.9375,0.375,0.5625,0.3125,0.8125,0.00390625,1.0,rank_biserial,scenario_binary_majority_vote,memory_dependent,0.0234375,16.0,32.0,1.0,16.0,0.9375,0.375,0.5625,"{'full_only': 9, 'other_only': 0, 'n_discordant': 9, 'p_value': 0.00390625}",9.0,primary
grounding,full,no_memory,7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
mean_violation_count,full,no_memory,7,0.08571428571428572,0.1142857142857143,-0.02857142857142858,-0.08571428571428574,0.0,1.0,-0.37796447300922714,cohens_dz,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
turn_count,full,no_memory,16,1.875,1.875,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
response_turns,full,no_memory,42,1.5,1.5,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,secondary
clarification_efficiency,full,no_memory,42,-1.5,-216.0,214.5,95.33333333333333,333.6666666666667,0.0026997960632601866,0.5159784552030892,cohens_dz,scenario_mean_over_repeats,all,0.005399592126520373,,,,,,,,,,secondary
response_turns,full,no_memory,16,1.875,1.875,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,secondary
clarification_efficiency,full,no_memory,16,-1.875,-564.9375,563.0625,312.8125,813.3125,0.0026997960632601866,1.0978875820670997,cohens_dz,scenario_mean_over_repeats,memory_dependent,0.005399592126520373,,,,,,,,,,secondary
