variant,metric,oracle,human,delta,n_oracle,n_human
full,ndcg_at_5,0.9114730966608259,,,37,
full,precision_at_5,0.9581081081081082,,,37,
full,mean_graded_relevance,2.695945945945946,,,37,
profile_only,ndcg_at_5,0.5604601469496626,,,24,
profile_only,precision_at_5,0.5583333333333332,,,24,
profile_only,mean_graded_relevance,1.625,,,24,
one_shot,ndcg_at_5,0.9174064768025298,,,21,
one_shot,precision_at_5,0.9619047619047618,,,21,
one_shot,mean_graded_relevance,2.704761904761905,,,21,
no_memory,ndcg_at_5,0.9380548576018973,,,28,
no_memory,precision_at_5,0.9714285714285714,,,28,
no_memory,mean_graded_relevance,2.7071428571428577,,,28,
no_context,ndcg_at_5,0.7190549469705403,,,38,
no_context,precision_at_5,0.6842105263157896,,,38,
no_context,mean_graded_relevance,1.98421052631579,,,38,
