variant,constraint_field,pass,fail,unknown,applicable,compliance,unknown_rate
full,not_expired,501,0,0,501,1.0,0.0
full,preferred_locations,69,5,0,74,0.9324324324324325,0.0
full,salary_min,361,4,1,366,0.9863387978142076,0.00273224043715847
full,work_modes,24,0,9,33,0.7272727272727273,0.2727272727272727
no_context,not_expired,528,102,0,630,0.8380952380952381,0.0
no_context,preferred_locations,111,69,0,180,0.6166666666666667,0.0
no_context,salary_min,399,21,75,495,0.806060606060606,0.15151515151515152
no_context,work_modes,45,15,30,90,0.5,0.3333333333333333
no_memory,not_expired,398,0,0,398,1.0,0.0
no_memory,preferred_locations,57,0,0,57,1.0,0.0
no_memory,salary_min,262,0,1,263,0.9961977186311787,0.0038022813688212928
no_memory,work_modes,21,3,9,33,0.6363636363636364,0.2727272727272727
