metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,estimand,subset,p_value_holm,scenario_count,total_run_count,repeats_per_scenario,valid_pairs,base_repeat_mean,other_repeat_mean,repeat_mean_delta,mcnemar,discordant_pairs,family
ndcg_at_5,full,no_context,37,0.9145042961482641,0.7201728119200472,0.19433148422821686,0.13756493446894685,0.2600304586584905,4.19523178231624e-06,1.0080828685877075,cohens_dz,scenario_mean_over_repeats,all,1.678092712926496e-05,,,,,,,,,,primary
hcsr,full,no_context,38,0.9578947368421052,0.6947368421052633,0.26315789473684204,0.19473684210526312,0.3368421052631578,2.5321103261982335e-06,1.152700106792124,cohens_dz,scenario_mean_over_repeats,all,1.2660551630991168e-05,,,,,,,,,,primary
task_success,full,no_context,42,0.8809523809523809,0.16666666666666666,0.7142857142857143,0.5714285714285714,0.8571428571428571,1.862645149230957e-09,1.0,rank_biserial,scenario_binary_majority_vote,all,1.1175870895385742e-08,42.0,252.0,3.0,42.0,0.8888888888888887,0.16666666666666666,0.7222222222222223,"{'full_only': 30, 'other_only': 0, 'n_discordant': 30, 'p_value': 1.862645149230957e-09}",30.0,primary
grounding,full,no_context,42,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
mean_violation_count,full,no_context,38,0.06842105263157895,0.38947368421052636,-0.3210526315789474,-0.46315789473684205,-0.2052631578947369,6.932017184056038e-06,-0.7840985995661378,cohens_dz,scenario_mean_over_repeats,all,2.0796051552168115e-05,,,,,,,,,,primary
turn_count,full,no_context,42,1.4523809523809523,1.4523809523809523,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
ndcg_at_5,full,no_context,10,0.8987558698243399,0.6479534139955303,0.2508024558288098,0.14247817926417986,0.41364711164611395,0.001953125,1.0299193877340855,cohens_dz,scenario_mean_over_repeats,context_dependent,0.009765625,,,,,,,,,,primary
hcsr,full,no_context,11,0.9090909090909091,0.45454545454545464,0.4545454545454545,0.309090909090909,0.6,0.001953125,1.6854996561581048,cohens_dz,scenario_mean_over_repeats,context_dependent,0.009765625,,,,,,,,,,primary
task_success,full,no_context,15,1.0,0.0,1.0,1.0,1.0,6.103515625e-05,1.0,rank_biserial,scenario_binary_majority_vote,context_dependent,0.0003662109375,15.0,90.0,3.0,15.0,0.9777777777777777,0.0,0.9777777777777777,"{'full_only': 15, 'other_only': 0, 'n_discordant': 15, 'p_value': 6.103515625e-05}",15.0,primary
grounding,full,no_context,15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,context_dependent,1.0,,,,,,,,,,primary
mean_violation_count,full,no_context,11,0.18181818181818182,0.7818181818181817,-0.6000000000000001,-0.9818181818181819,-0.2727272727272728,0.0048828125,-0.9302605094190636,cohens_dz,scenario_mean_over_repeats,context_dependent,0.0146484375,,,,,,,,,,primary
turn_count,full,no_context,15,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,context_dependent,1.0,,,,,,,,,,primary
response_turns,full,no_context,42,1.4523809523809523,1.4523809523809523,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,secondary
clarification_efficiency,full,no_context,42,-47620.5,-47620.5,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,secondary
response_turns,full,no_context,15,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,context_dependent,1.0,,,,,,,,,,secondary
clarification_efficiency,full,no_context,15,-1.3333333333333333,-1.3333333333333333,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,context_dependent,1.0,,,,,,,,,,secondary
