variant,component,median_ms,p95_ms,mean_ms,n
full,explanation,0.696,1.3935,1.1472142857142855,126
full,filtering,2.5700000000000003,3.56225,2.5948809523809526,126
full,intent_extraction,7857.5535,35974.2385,10402.731246031744,126
full,memory_merge,0.608,0.9575,0.640436507936508,126
full,ranking,10.49,17.5825,9.26443650793651,126
full,retrieval,7.5794999999999995,14.819500000000001,8.779238095238092,126
full,total,7890.954,35994.965000000004,10426.251420634919,126
no_context,explanation,0.731,1.23625,0.8054920634920633,126
no_context,filtering,0.7415,1.222,0.7768174603174602,126
no_context,intent_extraction,7727.76,14817.175000000001,8719.770674603174,126
no_context,memory_merge,0.441,0.63225,0.44428571428571423,126
no_context,ranking,18.814,30.4985,20.487563492063494,126
no_context,retrieval,7.566,12.62275,8.240238095238094,126
no_context,total,7760.637,14850.154750000002,8751.833134920633,126
no_memory,explanation,0.621,1.1834,0.6774285714285714,105
no_memory,filtering,2.233,3.3726,2.300295238095238,105
no_memory,intent_extraction,7668.425499999999,16474.4825,8305.59934126984,126
no_memory,memory_merge,0.53,0.7315,0.5280396825396826,126
no_memory,ranking,10.667,16.7864,8.44407619047619,105
no_memory,retrieval,7.303,12.4274,8.390161904761905,105
no_memory,total,7881.5045,17678.5235,9330.638706349206,126
