metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,estimand,subset,p_value_holm,scenario_count,total_run_count,repeats_per_scenario,valid_pairs,base_repeat_mean,other_repeat_mean,repeat_mean_delta,mcnemar,discordant_pairs,family
ndcg_at_5,full,no_memory,30,0.9088079076532863,0.8890949867562514,0.019712920897034913,-0.006280403461785825,0.053819554575699265,0.22491588401596185,0.23179423937207824,cohens_dz,scenario_mean_over_repeats,all,0.8985624743949988,,,,,,,,,,primary
hcsr,full,no_memory,30,0.98,0.9711111111111111,0.008888888888888894,0.0,0.024444444444444456,0.17971249487899976,0.2333668654644735,cohens_dz,scenario_mean_over_repeats,all,0.8985624743949988,,,,,,,,,,primary
task_success,full,no_memory,42,0.8809523809523809,0.7380952380952381,0.14285714285714285,0.047619047619047616,0.2619047619047619,0.03125,1.0,rank_biserial,scenario_binary_majority_vote,all,0.1875,42.0,252.0,3.0,42.0,0.8888888888888887,0.7380952380952381,0.1507936507936508,"{'full_only': 6, 'other_only': 0, 'n_discordant': 6, 'p_value': 0.03125}",6.0,primary
grounding,full,no_memory,35,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
mean_violation_count,full,no_memory,30,0.02,0.028888888888888895,-0.008888888888888894,-0.02444444444444446,0.0,0.17971249487899976,-0.23336686546447338,cohens_dz,scenario_mean_over_repeats,all,0.8985624743949988,,,,,,,,,,primary
turn_count,full,no_memory,42,1.4523809523809523,1.4523809523809523,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
ndcg_at_5,full,no_memory,9,0.9029688667703736,0.863566177174325,0.039402689596048514,0.004859447315271918,0.09286273619872293,0.25,0.5367004762414412,cohens_dz,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
hcsr,full,no_memory,9,0.9333333333333333,0.9037037037037037,0.029629629629629648,0.0,0.07407407407407411,0.5,0.4383972994809529,cohens_dz,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
task_success,full,no_memory,16,0.875,0.5,0.375,0.125,0.625,0.03125,1.0,rank_biserial,scenario_binary_majority_vote,memory_dependent,0.1875,16.0,96.0,3.0,16.0,0.8958333333333333,0.47916666666666663,0.4166666666666667,"{'full_only': 6, 'other_only': 0, 'n_discordant': 6, 'p_value': 0.03125}",6.0,primary
grounding,full,no_memory,9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
mean_violation_count,full,no_memory,9,0.06666666666666667,0.09629629629629631,-0.029629629629629648,-0.07407407407407413,0.0,0.5,-0.43839729948095274,cohens_dz,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
turn_count,full,no_memory,16,1.875,1.875,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
response_turns,full,no_memory,42,1.4523809523809523,1.4523809523809523,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,secondary
clarification_efficiency,full,no_memory,42,-47620.5,-47787.333333333336,166.83333333333334,71.5,286.0,0.0081509715935027,0.4418575508442684,cohens_dz,scenario_mean_over_repeats,all,0.0163019431870054,,,,,,,,,,secondary
response_turns,full,no_memory,16,1.875,1.875,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,secondary
clarification_efficiency,full,no_memory,16,-1.875,-439.8125,437.9375,187.6875,688.1875,0.0081509715935027,0.8539125638299664,cohens_dz,scenario_mean_over_repeats,memory_dependent,0.0163019431870054,,,,,,,,,,secondary
