run_id,scenario_id,variant,repeat_index,scenario_type,difficulty,memory_dependency,context_dependency,response_type,success_run,returned_count,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,grounded_claim_count,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,no_match_expected,no_match_returned,clarification_expected,clarification_target,clarification_asked,clarification_asked_slots,clarification_answered,clarification_repeated_slot,clarification_reason_code,response_turns,termination_reason,acceptable_slots,failure_injected,failure_detected,recoverable,recovered,clarification_efficiency
run-f76ddd87a0274c45,SC-A-01,full,0,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,1,36630.491,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-3b16805011f27320,SC-A-01,full,1,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,1,43832.793,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-7c22bffc2124024d,SC-A-01,full,2,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,1,46788.96,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-b3f1bd23725ffc77,SC-A-02,full,0,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,22,1.0,1.0,1,7860.592,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-58d21685679e76d2,SC-A-02,full,1,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,22,1.0,1.0,1,9102.783,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-73e95d32aa079ffc,SC-A-02,full,2,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,22,1.0,1.0,1,9163.836,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-5cf086fd7c8c196b,SC-A-03,full,0,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,1,9993.569,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-470b267247dc9052,SC-A-03,full,1,complete,easy,none,medium,recommendation,True,2,0.5531464700081437,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,13,1.0,1.0,1,11625.329,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-c47ebd3f119b3ac4,SC-A-03,full,2,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,1,9309.4,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-36fdb7246a3b9dd3,SC-A-04,full,0,complete,medium,none,medium,no_match,True,0,,,,,,,,,1.0,4,1.0,1.0,1,40004.91,0,0.25,False,True,False,,False,,False,False,,1,no_match,,False,False,False,False,-1.0
run-9132ef3a21f60e3e,SC-A-04,full,1,complete,medium,none,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,24,1.0,1.0,1,9875.897,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-035e0b5f34900e31,SC-A-04,full,2,complete,medium,none,medium,no_match,True,0,,,,,,,,,1.0,4,1.0,1.0,1,13545.19,0,0.25,False,True,False,,False,,False,False,,1,no_match,,False,False,False,False,-1.0
run-b69a70a89ab60921,SC-A-05,full,0,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,1.0,1,48007.793,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-e3025a64b6e77f38,SC-A-05,full,1,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,1.0,1,41158.832,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
