scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-A-01,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,42417.41466666667,1.0,1.0,28.0,-1.0
SC-A-01,no_context,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8285.471666666666,1.0,1.0,28.0,-1.0
SC-A-01,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9068.216,1.0,1.0,28.0,-1.0
SC-A-02,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8709.070333333333,1.0,1.0,22.0,-1.0
SC-A-02,no_context,complete,easy,none,medium,0.7860137352654725,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,7996.951333333333,0.0,0.75,21.0,-1.0
SC-A-02,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7292.217333333334,1.0,1.0,22.0,-1.0
SC-A-03,full,complete,easy,none,medium,0.8510488233360478,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10309.432666666666,1.0,1.0,23.0,-1.0
SC-A-03,no_context,complete,easy,none,medium,0.8687949224876581,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,8814.430999999999,0.0,0.75,28.0,-1.0
SC-A-03,no_memory,complete,easy,none,medium,0.8510488233360478,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9474.226666666667,1.0,1.0,23.0,-1.0
SC-A-04,full,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21141.999,0.3333333333333333,0.5,10.666666666666666,-1.0
SC-A-04,no_context,complete,medium,none,medium,0.5147714448836774,0.6,1.8,0.6,0.4000000000000001,0.10000000000000002,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,9299.280666666667,0.0,0.75,23.0,-1.0
SC-A-04,no_memory,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8449.329666666667,0.3333333333333333,0.5,10.666666666666666,-1.0
SC-A-05,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,46750.68033333333,1.0,1.0,23.0,-1.0
SC-A-05,no_context,complete,easy,none,medium,0.6608397947263838,0.8000000000000002,2.4,0.8000000000000002,0.4000000000000001,0.10000000000000002,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,7763.169333333334,0.0,0.75,23.0,-1.0
SC-A-05,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8679.545666666667,1.0,1.0,23.0,-1.0
SC-A-06,full,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10133.747333333333,1.0,1.0,27.0,-1.0
SC-A-06,no_context,complete,medium,none,medium,0.49125969208957576,0.6,1.8,0.6,0.4000000000000001,0.10000000000000002,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,8654.494666666667,0.0,0.75,27.0,-1.0
