variant,constraint_field,pass,fail,unknown,applicable,compliance,unknown_rate
full,not_expired,172,0,0,172,1.0,0.0
full,preferred_locations,22,0,0,22,1.0,0.0
full,salary_min,127,0,0,127,1.0,0.0
full,work_modes,9,0,0,9,1.0,0.0
no_context,not_expired,175,35,0,210,0.8333333333333334,0.0
no_context,preferred_locations,37,23,0,60,0.6166666666666667,0.0
no_context,salary_min,113,27,25,165,0.6848484848484848,0.15151515151515152
no_context,work_modes,15,5,10,30,0.5,0.3333333333333333
no_memory,not_expired,127,0,0,127,1.0,0.0
no_memory,preferred_locations,17,0,0,17,1.0,0.0
no_memory,salary_min,77,5,0,82,0.9390243902439024,0.0
no_memory,work_modes,6,1,2,9,0.6666666666666666,0.2222222222222222
one_shot,not_expired,92,0,0,92,1.0,0.0
one_shot,preferred_locations,17,0,0,17,1.0,0.0
one_shot,salary_min,70,2,0,72,0.9722222222222222,0.0
one_shot,work_modes,6,1,2,9,0.6666666666666666,0.2222222222222222
profile_only,not_expired,140,0,0,140,1.0,0.0
profile_only,preferred_locations,4,51,0,55,0.07272727272727272,0.0
profile_only,salary_min,57,54,9,120,0.475,0.075
profile_only,work_modes,5,16,9,30,0.16666666666666666,0.3
