scope,variant,scenario_type,runs,fields,rule_fields,llm_fields,rule_share,llm_share,normalized_fields,repaired_fields,rule_fallback_fields,unresolved_fields,hybrid_runs,hybrid_fields,schema_failure_rate,fallback_rate
variant,full,(all),42,137,137,0,1.0,0.0,137,0,0,0,0,0,,
variant,no_context,(all),42,137,137,0,1.0,0.0,137,0,0,0,0,0,,
variant,no_memory,(all),42,137,137,0,1.0,0.0,137,0,0,0,0,0,,
variant,one_shot,(all),42,144,144,0,1.0,0.0,144,0,0,0,0,0,,
variant,profile_only,(all),42,137,137,0,1.0,0.0,137,0,0,0,0,0,,
variant_scenario_type,full,ambiguous_role,2,2,2,0,1.0,0.0,2,0,0,0,0,0,,
variant_scenario_type,full,clarification,5,5,5,0,1.0,0.0,5,0,0,0,0,0,,
variant_scenario_type,full,complete,6,29,29,0,1.0,0.0,29,0,0,0,0,0,,
variant_scenario_type,full,multiple_hard,5,25,25,0,1.0,0.0,25,0,0,0,0,0,,
variant_scenario_type,full,no_match,3,12,12,0,1.0,0.0,12,0,0,0,0,0,,
variant_scenario_type,full,preference_change,12,33,33,0,1.0,0.0,33,0,0,0,0,0,,
variant_scenario_type,full,profile_dialogue_conflict,5,20,20,0,1.0,0.0,20,0,0,0,0,0,,
variant_scenario_type,full,soft_tradeoff,4,11,11,0,1.0,0.0,11,0,0,0,0,0,,
variant_scenario_type,no_context,ambiguous_role,2,2,2,0,1.0,0.0,2,0,0,0,0,0,,
variant_scenario_type,no_context,clarification,5,5,5,0,1.0,0.0,5,0,0,0,0,0,,
variant_scenario_type,no_context,complete,6,29,29,0,1.0,0.0,29,0,0,0,0,0,,
variant_scenario_type,no_context,multiple_hard,5,25,25,0,1.0,0.0,25,0,0,0,0,0,,
variant_scenario_type,no_context,no_match,3,12,12,0,1.0,0.0,12,0,0,0,0,0,,
variant_scenario_type,no_context,preference_change,12,33,33,0,1.0,0.0,33,0,0,0,0,0,,
variant_scenario_type,no_context,profile_dialogue_conflict,5,20,20,0,1.0,0.0,20,0,0,0,0,0,,
variant_scenario_type,no_context,soft_tradeoff,4,11,11,0,1.0,0.0,11,0,0,0,0,0,,
variant_scenario_type,no_memory,ambiguous_role,2,2,2,0,1.0,0.0,2,0,0,0,0,0,,
variant_scenario_type,no_memory,clarification,5,5,5,0,1.0,0.0,5,0,0,0,0,0,,
variant_scenario_type,no_memory,complete,6,29,29,0,1.0,0.0,29,0,0,0,0,0,,
variant_scenario_type,no_memory,multiple_hard,5,25,25,0,1.0,0.0,25,0,0,0,0,0,,
variant_scenario_type,no_memory,no_match,3,12,12,0,1.0,0.0,12,0,0,0,0,0,,
variant_scenario_type,no_memory,preference_change,12,33,33,0,1.0,0.0,33,0,0,0,0,0,,
variant_scenario_type,no_memory,profile_dialogue_conflict,5,20,20,0,1.0,0.0,20,0,0,0,0,0,,
variant_scenario_type,no_memory,soft_tradeoff,4,11,11,0,1.0,0.0,11,0,0,0,0,0,,
variant_scenario_type,one_shot,ambiguous_role,2,4,4,0,1.0,0.0,4,0,0,0,0,0,,
variant_scenario_type,one_shot,clarification,5,10,10,0,1.0,0.0,10,0,0,0,0,0,,
variant_scenario_type,one_shot,complete,6,29,29,0,1.0,0.0,29,0,0,0,0,0,,
variant_scenario_type,one_shot,multiple_hard,5,25,25,0,1.0,0.0,25,0,0,0,0,0,,
variant_scenario_type,one_shot,no_match,3,12,12,0,1.0,0.0,12,0,0,0,0,0,,
variant_scenario_type,one_shot,preference_change,12,33,33,0,1.0,0.0,33,0,0,0,0,0,,
variant_scenario_type,one_shot,profile_dialogue_conflict,5,20,20,0,1.0,0.0,20,0,0,0,0,0,,
variant_scenario_type,one_shot,soft_tradeoff,4,11,11,0,1.0,0.0,11,0,0,0,0,0,,
variant_scenario_type,profile_only,ambiguous_role,2,2,2,0,1.0,0.0,2,0,0,0,0,0,,
variant_scenario_type,profile_only,clarification,5,5,5,0,1.0,0.0,5,0,0,0,0,0,,
variant_scenario_type,profile_only,complete,6,29,29,0,1.0,0.0,29,0,0,0,0,0,,
variant_scenario_type,profile_only,multiple_hard,5,25,25,0,1.0,0.0,25,0,0,0,0,0,,
variant_scenario_type,profile_only,no_match,3,12,12,0,1.0,0.0,12,0,0,0,0,0,,
variant_scenario_type,profile_only,preference_change,12,33,33,0,1.0,0.0,33,0,0,0,0,0,,
variant_scenario_type,profile_only,profile_dialogue_conflict,5,20,20,0,1.0,0.0,20,0,0,0,0,0,,
variant_scenario_type,profile_only,soft_tradeoff,4,11,11,0,1.0,0.0,11,0,0,0,0,0,,
