variant,metric,oracle,human,delta,n_oracle,n_human
full,ndcg_at_5,0.9570176505047516,0.9686712486039887,0.01165359809923705,37,37
full,precision_at_5,0.9945945945945945,0.8972972972972973,-0.09729729729729719,37,37
full,mean_graded_relevance,2.745945945945946,2.418018018018018,-0.3279279279279277,37,37
profile_only,ndcg_at_5,0.410747081929616,0.4009015976676636,-0.00984548426195242,24,23
profile_only,precision_at_5,0.425,0.4434782608695652,0.018478260869565222,24,23
profile_only,mean_graded_relevance,1.2583333333333333,1.173913043478261,-0.08442028985507233,24,23
one_shot,ndcg_at_5,0.905531007964483,0.92839075296939,0.02285974500490695,21,21
one_shot,precision_at_5,0.9523809523809523,0.8380952380952381,-0.11428571428571421,21,21
one_shot,mean_graded_relevance,2.638095238095238,2.3365079365079366,-0.3015873015873014,21,21
no_memory,ndcg_at_5,0.901750658303981,0.8941893786881352,-0.007561279615845851,28,28
no_memory,precision_at_5,0.942857142857143,0.8357142857142857,-0.1071428571428572,28,28
no_memory,mean_graded_relevance,2.6,2.288095238095238,-0.31190476190476213,28,28
no_context,ndcg_at_5,0.6416858578032298,0.6980761995995923,0.056390341796362486,38,37
no_context,precision_at_5,0.5842105263157895,0.5945945945945947,0.010384068278805225,38,37
no_context,mean_graded_relevance,1.6947368421052629,1.6270270270270266,-0.06770981507823626,38,37
