run_id,scenario_id,variant,repeat_index,scenario_type,difficulty,memory_dependency,context_dependency,response_type,success_run,returned_count,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,grounded_claim_count,evidence_resolution_rate,abstention_rate,unsupported_delivered_count,semantic_validator_present,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,no_match_expected,no_match_returned,clarification_expected,clarification_target,clarification_asked,clarification_asked_slots,clarification_answered,clarification_repeated_slot,clarification_reason_code,response_turns,termination_reason,acceptable_slots,failure_injected,failure_detected,recoverable,recovered,clarification_efficiency
run-3704234e0044445c,SC-A-01,full,0,complete,easy,none,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,1,25.333,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-a1496348f76e4af2,SC-A-02,full,0,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,1,18.369,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-81319bcbcd98673c,SC-A-03,full,0,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,1,22.493,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-8fe7e2a70540fa13,SC-A-04,full,0,complete,medium,none,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,24,1.0,0.0,0,True,1.0,1.0,1,19.84,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-5d2e6e2b79282ca0,SC-A-05,full,0,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,1,24.802,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-9d1a12cb2591f457,SC-A-06,full,0,complete,medium,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,27,1.0,0.0,0,True,1.0,1.0,1,17.109,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-edddb80b074c7c76,SC-B-01,full,0,clarification,medium,none,low,recommendation,True,5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,31,1.0,0.0,0,True,1.0,1.0,2,27.254,1,1.0,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-0ce9678e58d522e5,SC-B-02,full,0,clarification,medium,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,21,1.0,0.0,0,True,1.0,1.0,2,18.791,1,1.0,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-fe7a26d58064e8dc,SC-B-03,full,0,clarification,hard,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,21,1.0,0.0,0,True,1.0,1.0,2,17.549,1,1.0,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-897ec7b867f5ca68,SC-B-04,full,0,clarification,medium,none,low,recommendation,True,5,0.8573424901769817,0.8,1.8,1.0,0.0,0.0,0.0,1.0,1.0,30,1.0,0.0,0,True,1.0,1.0,2,15.453,1,1.0,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-1e0ba3c3954c7ccf,SC-B-05,full,0,clarification,medium,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,19,1.0,0.0,0,True,1.0,1.0,2,18.692,1,1.0,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-afb024d797a37c69,SC-C-01,full,0,profile_dialogue_conflict,medium,medium,high,recommendation,True,5,0.936475914927914,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,27,1.0,0.0,0,True,1.0,1.0,1,11.926,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-39d61cb1eca880d8,SC-C-02,full,0,profile_dialogue_conflict,medium,medium,medium,recommendation,True,5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,1,20.261,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-622746ed303f2c0d,SC-C-03,full,0,profile_dialogue_conflict,hard,medium,high,recommendation,True,5,1.0,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,26,1.0,0.0,0,True,1.0,1.0,1,11.762,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-299870db7b1a02f9,SC-C-04,full,0,profile_dialogue_conflict,medium,medium,high,recommendation,True,3,0.8587958726494572,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,17,1.0,0.0,0,True,1.0,1.0,1,11.23,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-4bf63d232e1e4028,SC-C-05,full,0,profile_dialogue_conflict,medium,low,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,1,19.691,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-99e816661430c66e,SC-D-01,full,0,preference_change,medium,high,high,recommendation,True,5,0.9250256699929476,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,26,1.0,0.0,0,True,1.0,1.0,2,15.562,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-5146b6b94268cb8e,SC-D-02,full,0,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,29,1.0,0.0,0,True,1.0,1.0,2,13.624,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-b4594bd0d15cc5e0,SC-D-03,full,0,preference_change,hard,high,high,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,26,1.0,0.0,0,True,1.0,1.0,2,20.621,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-c5f8e170be1576f7,SC-D-04,full,0,preference_change,medium,high,medium,recommendation,True,5,0.9250256699929476,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,2,17.931,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-44edd4d662236ae1,SC-D-05,full,0,preference_change,medium,high,high,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,20,1.0,0.0,0,True,1.0,1.0,2,41.503,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-ca316ef87f1e1d94,SC-D-06,full,0,preference_change,medium,high,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,2,20.37,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-937dfd5cfbd8926d,SC-D-07,full,0,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,2,18.292,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-37a65f6f11d43275,SC-D-08,full,0,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,2,17.907,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-293806b558ff1d6a,SC-D-09,full,0,preference_change,hard,high,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,24,1.0,0.0,0,True,1.0,1.0,2,21.811,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-6f9234be022646e9,SC-D-10,full,0,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,2,21.093,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-dd41e26e383b6e47,SC-D-11,full,0,preference_change,medium,high,medium,recommendation,True,5,0.9250256699929476,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,25,1.0,0.0,0,True,1.0,1.0,3,19.967,1,1.0,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-e7a6944b52a20ca5,SC-D-12,full,0,preference_change,hard,high,high,recommendation,True,5,0.9478815954653227,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,27,1.0,0.0,0,True,1.0,1.0,3,12.071,1,1.0,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-6f82a936d36520aa,SC-E-01,full,0,multiple_hard,hard,none,high,recommendation,True,1,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,8,1.0,0.0,0,True,1.0,1.0,1,8.733,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-85375656a504b3d2,SC-E-02,full,0,multiple_hard,hard,none,high,no_match,True,0,,,,,,,,,1.0,6,1.0,0.0,0,True,1.0,1.0,1,10.508,1,1.0,True,True,False,,False,,False,False,,1,no_match,,False,False,False,False,-1.0
run-5c7b2955097358b7,SC-E-03,full,0,multiple_hard,hard,none,high,recommendation,True,2,0.7428223494387413,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,13,1.0,0.0,0,True,1.0,1.0,1,11.036,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-327029f826592b5a,SC-E-04,full,0,multiple_hard,hard,none,high,no_match,True,0,,,,,,,,,1.0,6,1.0,0.0,0,True,1.0,1.0,1,12.689,1,1.0,True,True,False,,False,,False,False,,1,no_match,,False,False,False,False,-1.0
run-47d3189dbfc91061,SC-E-05,full,0,multiple_hard,hard,none,high,recommendation,True,1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,7,1.0,0.0,0,True,1.0,1.0,1,16.157,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-611904a79457240a,SC-F-01,full,0,soft_tradeoff,medium,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,1,20.276,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-35c863ad4c3e6f28,SC-F-02,full,0,soft_tradeoff,medium,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,1,25.924,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-e0d708a90a8e4911,SC-F-03,full,0,soft_tradeoff,easy,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,22,1.0,0.0,0,True,1.0,1.0,1,18.802,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-8b3f8acda4a32c84,SC-F-04,full,0,soft_tradeoff,medium,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,20,1.0,0.0,0,True,1.0,1.0,1,38.133,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-d62426bd09776395,SC-G-01,full,0,ambiguous_role,hard,none,low,recommendation,True,5,0.9250256699929476,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,25,1.0,0.0,0,True,1.0,1.0,2,29.785,1,1.0,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-f624b0f51a068b4e,SC-G-02,full,0,ambiguous_role,hard,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,20,1.0,0.0,0,True,1.0,1.0,2,18.266,1,1.0,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-81e796b5314caa57,SC-H-01,full,0,no_match,hard,none,high,no_match,True,0,,,,,,,,,1.0,4,1.0,0.0,0,True,1.0,1.0,1,7.852,1,1.0,True,True,False,,False,,False,False,,1,no_match,,False,False,False,False,-1.0
run-f0318a443bd4e1ea,SC-H-02,full,0,no_match,hard,none,high,no_match,True,0,,,,,,,,,1.0,4,1.0,0.0,0,True,1.0,1.0,1,10.16,1,1.0,True,True,False,,False,,False,False,,1,no_match,,False,False,False,False,-1.0
run-f2047b965149efbc,SC-H-03,full,0,no_match,hard,none,high,no_match,True,0,,,,,,,,,1.0,4,1.0,0.0,0,True,1.0,1.0,1,11.8,1,1.0,True,True,False,,False,,False,False,,1,no_match,,False,False,False,False,-1.0
run-d41da11c672e910a,SC-A-01,no_context,0,complete,easy,none,medium,recommendation,True,5,0.6548086577531306,0.6,1.8,0.6,0.4,0.0,0.0,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,1,25.46,0,0.75,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-1395b56d6fc8e924,SC-A-02,no_context,0,complete,easy,none,medium,recommendation,True,5,0.5087403079104241,0.4,1.2,0.4,0.6,0.0,0.2,1.0,1.0,21,1.0,0.0,0,True,1.0,1.0,1,21.566,0,0.75,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-1bf11ade46e0d5c8,SC-A-03,no_context,0,complete,easy,none,medium,recommendation,True,5,0.8687949224876581,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,1,25.819,0,0.75,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
