scenario_type,variant,ndcg_at_5,hcsr,task_success,grounding,response_turns,clarification_efficiency
ambiguous_role,full,0.9625128349964738,1.0,1.0,1.0,2.0,-2.0
ambiguous_role,no_context,0.6621484664716257,0.6,0.0,1.0,2.0,-2.0
ambiguous_role,no_memory,0.7234267649959281,0.8,0.5,1.0,2.0,-2.0
ambiguous_role,one_shot,,,0.0,,1.0,-1001.0
ambiguous_role,profile_only,,,0.0,,2.0,-1002.0
clarification,full,0.9714684980353964,1.0,1.0,1.0,2.0,-2.0
clarification,no_context,0.7558506547047775,0.76,0.2,1.0,2.0,-2.0
clarification,no_memory,0.9572027470530944,0.96,0.8,1.0,2.0,-2.0
clarification,one_shot,,,0.0,,1.0,-1001.0
clarification,profile_only,,,0.0,,2.0,-1002.0
complete,full,0.9471860138371336,1.0,1.0,1.0,1.0,-1.0
complete,no_context,0.616535803308475,0.6333333333333333,0.0,1.0,1.0,-1.0
complete,no_memory,0.9471860138371336,1.0,1.0,1.0,1.0,-1.0
complete,one_shot,0.9471860138371336,1.0,1.0,1.0,1.0,-1.0
complete,profile_only,0.4791376765768185,0.5,0.0,1.0,1.0,-1.0
multiple_hard,full,0.9142741164795805,1.0,1.0,1.0,1.0,-1.0
multiple_hard,no_context,0.412903785375764,0.12000000000000002,0.0,1.0,1.0,-1.0
multiple_hard,no_memory,0.9142741164795805,1.0,1.0,1.0,1.0,-1.0
multiple_hard,one_shot,0.9142741164795805,1.0,1.0,1.0,1.0,-1.0
multiple_hard,profile_only,0.04404894057019608,0.04,0.0,1.0,1.0,-1.0
no_match,full,,,1.0,1.0,1.0,-1.0
no_match,no_context,,0.0,0.0,1.0,1.0,-1.0
no_match,no_memory,,,1.0,1.0,1.0,-1.0
no_match,one_shot,,,1.0,1.0,1.0,-1.0
no_match,profile_only,,0.0,0.0,1.0,1.0,-1.0
preference_change,full,0.9505062240389139,1.0,1.0,1.0,2.1666666666666665,-2.1666666666666665
preference_change,no_context,0.6070399125785871,0.5666666666666667,0.0,1.0,2.1666666666666665,-2.1666666666666665
preference_change,no_memory,0.5983136490717423,0.6666666666666666,0.08333333333333333,1.0,2.1666666666666665,-752.9166666666666
preference_change,one_shot,0.5983136490717423,0.6666666666666666,0.08333333333333333,1.0,2.1666666666666665,-752.9166666666666
preference_change,profile_only,0.43041989736319186,0.48,0.0,1.0,2.1666666666666665,-586.0833333333334
profile_dialogue_conflict,full,0.9590543575154742,1.0,1.0,1.0,1.0,-1.0
profile_dialogue_conflict,no_context,0.5968727366064522,0.4800000000000001,0.2,1.0,1.0,-1.0
profile_dialogue_conflict,no_memory,0.9590543575154742,1.0,1.0,1.0,1.0,-1.0
profile_dialogue_conflict,one_shot,0.9590543575154742,1.0,1.0,1.0,1.0,-1.0
profile_dialogue_conflict,profile_only,0.13096173155062613,0.12000000000000002,0.0,1.0,1.0,-1.0
soft_tradeoff,full,1.0,1.0,1.0,1.0,1.0,-1.0
soft_tradeoff,no_context,0.9152099486815959,0.95,0.75,1.0,1.0,-1.0
soft_tradeoff,no_memory,1.0,1.0,1.0,1.0,1.0,-1.0
soft_tradeoff,one_shot,1.0,1.0,1.0,1.0,1.0,-1.0
soft_tradeoff,profile_only,1.0,1.0,1.0,1.0,1.0,-1.0
