scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,evidence_resolution_rate,abstention_rate,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-A-01,full,complete,easy,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,25.333,1.0,1.0,28.0,-1.0
SC-A-01,no_context,complete,easy,none,medium,0.6548086577531306,0.6,1.8,0.6,0.4,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,25.46,0.0,0.75,28.0,-1.0
SC-A-01,no_memory,complete,easy,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,17.963,1.0,1.0,28.0,-1.0
SC-A-01,one_shot,complete,easy,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,17.897,1.0,1.0,28.0,-1.0
SC-A-01,profile_only,complete,easy,none,medium,0.44685352999185624,0.6,1.8,0.6,0.4,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,18.922,0.0,0.75,22.0,-1.0
SC-A-02,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,18.369,1.0,1.0,23.0,-1.0
SC-A-02,no_context,complete,easy,none,medium,0.5087403079104241,0.4,1.2,0.4,0.6,0.0,0.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,21.566,0.0,0.75,21.0,-1.0
SC-A-02,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,18.743,1.0,1.0,23.0,-1.0
SC-A-02,one_shot,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,17.523,1.0,1.0,23.0,-1.0
SC-A-02,profile_only,complete,easy,none,medium,0.14606834984270645,0.2,0.6,0.2,0.8,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,19.942,0.0,0.75,19.0,-1.0
SC-A-03,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,22.493,1.0,1.0,28.0,-1.0
