experiment_variant,scenario_id,run_index,run_id,success,response_type,no_match,returned,eligible,claims,dropped_claims,response_turns,session_count,legacy_rule_reparse_turns,candidate_state_version,termination_reason,total_latency_ms,run_dir
full,SC-A-01,0,run-3704234e0044445c,True,recommendation,False,5,28,28,0,1,1,0,1,recommendation,25.333,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-A-01\0
full,SC-A-02,0,run-a1496348f76e4af2,True,recommendation,False,5,25,23,0,1,1,0,1,recommendation,18.369,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-A-02\0
full,SC-A-03,0,run-81319bcbcd98673c,True,recommendation,False,5,28,28,0,1,1,0,1,recommendation,22.493,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-A-03\0
full,SC-A-04,0,run-8fe7e2a70540fa13,True,recommendation,False,5,24,24,0,1,1,0,1,recommendation,19.84,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-A-04\0
full,SC-A-05,0,run-5d2e6e2b79282ca0,True,recommendation,False,5,27,23,0,1,1,0,1,recommendation,24.802,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-A-05\0
full,SC-A-06,0,run-9d1a12cb2591f457,True,recommendation,False,5,28,27,0,1,1,0,1,recommendation,17.109,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-A-06\0
full,SC-B-01,0,run-edddb80b074c7c76,True,recommendation,False,5,42,31,0,2,1,0,1,recommendation,27.254,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-B-01\0
full,SC-B-02,0,run-0ce9678e58d522e5,True,recommendation,False,5,43,21,0,2,1,0,1,recommendation,18.791,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-B-02\0
full,SC-B-03,0,run-fe7a26d58064e8dc,True,recommendation,False,5,43,21,0,2,1,0,1,recommendation,17.549,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-B-03\0
full,SC-B-04,0,run-897ec7b867f5ca68,True,recommendation,False,5,26,30,0,2,1,0,1,recommendation,15.453,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-B-04\0
full,SC-B-05,0,run-1e0ba3c3954c7ccf,True,recommendation,False,5,43,19,0,2,1,0,1,recommendation,18.692,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-B-05\0
full,SC-C-01,0,run-afb024d797a37c69,True,recommendation,False,5,8,27,0,1,1,0,1,recommendation,11.926,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-C-01\0
full,SC-C-02,0,run-39d61cb1eca880d8,True,recommendation,False,5,25,28,0,1,1,0,1,recommendation,20.261,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-C-02\0
full,SC-C-03,0,run-622746ed303f2c0d,True,recommendation,False,5,8,26,0,1,1,0,1,recommendation,11.762,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-C-03\0
full,SC-C-04,0,run-299870db7b1a02f9,True,recommendation,False,3,3,17,0,1,1,0,1,recommendation,11.23,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-C-04\0
full,SC-C-05,0,run-4bf63d232e1e4028,True,recommendation,False,5,24,23,0,1,1,0,1,recommendation,19.691,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-C-05\0
full,SC-D-01,0,run-99e816661430c66e,True,recommendation,False,5,28,26,0,2,1,0,1,recommendation,15.562,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-D-01\0
full,SC-D-02,0,run-5146b6b94268cb8e,True,recommendation,False,5,8,29,0,2,1,0,1,recommendation,13.624,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-D-02\0
full,SC-D-03,0,run-b4594bd0d15cc5e0,True,recommendation,False,5,28,26,0,2,1,0,1,recommendation,20.621,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-D-03\0
full,SC-D-04,0,run-c5f8e170be1576f7,True,recommendation,False,5,19,28,0,2,1,0,1,recommendation,17.931,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-D-04\0
full,SC-D-05,0,run-44edd4d662236ae1,True,recommendation,False,5,24,20,0,2,1,0,1,recommendation,41.503,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-D-05\0
full,SC-E-01,0,run-6f82a936d36520aa,True,recommendation,False,1,1,8,0,1,1,0,1,recommendation,8.733,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-E-01\0
full,SC-E-02,0,run-85375656a504b3d2,True,no_match,True,0,0,6,0,1,1,0,1,no_match,10.508,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-E-02\0
full,SC-E-03,0,run-5c7b2955097358b7,True,recommendation,False,2,2,13,0,1,1,0,1,recommendation,11.036,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-E-03\0
full,SC-E-04,0,run-327029f826592b5a,True,no_match,True,0,0,6,0,1,1,0,1,no_match,12.689,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-E-04\0
full,SC-E-05,0,run-47d3189dbfc91061,True,recommendation,False,1,1,7,0,1,1,0,1,recommendation,16.157,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-E-05\0
full,SC-F-01,0,run-611904a79457240a,True,recommendation,False,5,43,23,0,1,1,0,1,recommendation,20.276,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-F-01\0
full,SC-F-02,0,run-35c863ad4c3e6f28,True,recommendation,False,5,44,23,0,1,1,0,1,recommendation,25.924,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-F-02\0
full,SC-F-03,0,run-e0d708a90a8e4911,True,recommendation,False,5,43,22,0,1,1,0,1,recommendation,18.802,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-F-03\0
full,SC-F-04,0,run-8b3f8acda4a32c84,True,recommendation,False,5,44,20,0,1,1,0,1,recommendation,38.133,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-F-04\0
full,SC-G-01,0,run-d62426bd09776395,True,recommendation,False,5,28,25,0,2,1,0,1,recommendation,29.785,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-G-01\0
full,SC-G-02,0,run-f624b0f51a068b4e,True,recommendation,False,5,43,20,0,2,1,0,1,recommendation,18.266,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-G-02\0
full,SC-H-01,0,run-81e796b5314caa57,True,no_match,True,0,0,4,0,1,1,0,1,no_match,7.852,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-H-01\0
full,SC-H-02,0,run-f0318a443bd4e1ea,True,no_match,True,0,0,4,0,1,1,0,1,no_match,10.16,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-H-02\0
full,SC-H-03,0,run-f2047b965149efbc,True,no_match,True,0,0,4,0,1,1,0,1,no_match,11.8,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-H-03\0
full,SC-D-06,0,run-ca316ef87f1e1d94,True,recommendation,False,5,28,28,0,2,1,0,1,recommendation,20.37,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-D-06\0
full,SC-D-07,0,run-937dfd5cfbd8926d,True,recommendation,False,5,25,23,0,2,1,0,1,recommendation,18.292,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-D-07\0
full,SC-D-08,0,run-37a65f6f11d43275,True,recommendation,False,5,28,28,0,2,1,0,1,recommendation,17.907,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-D-08\0
full,SC-D-09,0,run-293806b558ff1d6a,True,recommendation,False,5,24,24,0,2,1,0,1,recommendation,21.811,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-D-09\0
full,SC-D-10,0,run-6f9234be022646e9,True,recommendation,False,5,27,23,0,2,1,0,1,recommendation,21.093,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-D-10\0
full,SC-D-11,0,run-dd41e26e383b6e47,True,recommendation,False,5,28,25,0,3,1,0,1,recommendation,19.967,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-D-11\0
full,SC-D-12,0,run-e7a6944b52a20ca5,True,recommendation,False,5,8,27,0,3,1,0,1,recommendation,12.071,artifacts\main_deterministic\runs\exp-40a9cd647575\full\SC-D-12\0
profile_only,SC-A-01,0,run-cbadac524b3b1865,True,recommendation,False,5,43,22,0,1,1,0,1,recommendation,18.922,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-A-01\0
profile_only,SC-A-02,0,run-8d5ad95c4cc0ea7e,True,recommendation,False,5,44,19,0,1,1,0,1,recommendation,19.942,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-A-02\0
profile_only,SC-A-03,0,run-793cb59b50eec427,True,recommendation,False,5,43,20,0,1,1,0,1,recommendation,17.698,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-A-03\0
profile_only,SC-A-04,0,run-201cd0cf98eaa593,True,recommendation,False,5,45,14,0,1,1,0,1,recommendation,23.169,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-A-04\0
profile_only,SC-A-05,0,run-2014c584d6b7abe3,True,recommendation,False,5,44,19,0,1,1,0,1,recommendation,22.424,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-A-05\0
profile_only,SC-A-06,0,run-6603f070d7a74f3c,True,recommendation,False,5,43,22,0,1,1,0,1,recommendation,19.186,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-A-06\0
profile_only,SC-B-01,0,run-8e7e90741c3d8216,True,clarification,,0,0,0,0,2,1,0,1,repeated_slot,0.759,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-B-01\0
profile_only,SC-B-02,0,run-1c7e056e2eeb37ec,True,clarification,,0,0,0,0,2,1,0,1,repeated_slot,0.752,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-B-02\0
profile_only,SC-B-03,0,run-11f9246e03363a53,True,clarification,,0,0,0,0,2,1,0,1,repeated_slot,0.83,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-B-03\0
profile_only,SC-B-04,0,run-bf0afd62b37f45cf,True,clarification,,0,0,0,0,2,1,0,1,repeated_slot,1.75,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-B-04\0
profile_only,SC-B-05,0,run-6e191d534fa976ce,True,clarification,,0,0,0,0,2,1,0,1,repeated_slot,0.813,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-B-05\0
profile_only,SC-C-01,0,run-d7f178f578257fb9,True,recommendation,False,5,43,24,0,1,1,0,1,recommendation,20.02,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-C-01\0
profile_only,SC-C-02,0,run-59a9fcc2972db0b9,True,recommendation,False,5,44,28,0,1,1,0,1,recommendation,32.808,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-C-02\0
profile_only,SC-C-03,0,run-04199a1317aaf4d6,True,recommendation,False,5,43,22,0,1,1,0,1,recommendation,22.185,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-C-03\0
profile_only,SC-C-04,0,run-1938ed72bf14b97b,True,recommendation,False,5,43,25,0,1,1,0,1,recommendation,18.864,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-C-04\0
profile_only,SC-C-05,0,run-a7ad56f261f14f47,True,recommendation,False,5,44,20,0,1,1,0,1,recommendation,25.401,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-C-05\0
profile_only,SC-D-01,0,run-5ba7ce50f4958746,True,recommendation,False,5,43,22,0,2,1,0,1,recommendation,17.805,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-01\0
profile_only,SC-D-02,0,run-7e985e6525696145,True,recommendation,False,5,44,26,0,2,1,0,1,recommendation,20.101,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-02\0
profile_only,SC-D-03,0,run-d533db1177852d34,True,recommendation,False,5,43,21,0,2,1,0,1,recommendation,20.091,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-03\0
profile_only,SC-D-04,0,run-55c8e29cfa8c9641,True,recommendation,False,5,40,21,0,2,1,0,1,recommendation,22.041,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-04\0
profile_only,SC-D-05,0,run-85dad60b90e1def2,True,recommendation,False,5,45,14,0,2,1,0,1,recommendation,91.788,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-05\0
profile_only,SC-E-01,0,run-a422a5b8b642038d,True,recommendation,False,5,43,18,0,1,1,0,1,recommendation,15.551,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-E-01\0
profile_only,SC-E-02,0,run-5426d17ea77a5e18,True,recommendation,False,5,44,18,0,1,1,0,1,recommendation,18.752,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-E-02\0
profile_only,SC-E-03,0,run-a07b4c8d8ca12c5a,True,recommendation,False,5,43,18,0,1,1,0,1,recommendation,15.427,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-E-03\0
profile_only,SC-E-04,0,run-170a86bce589f400,True,recommendation,False,5,45,13,0,1,1,0,1,recommendation,19.709,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-E-04\0
profile_only,SC-E-05,0,run-974c2e173586b95d,True,recommendation,False,5,40,18,0,1,1,0,1,recommendation,19.273,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-E-05\0
profile_only,SC-F-01,0,run-9b89791550e9ef70,True,recommendation,False,5,43,18,0,1,1,0,1,recommendation,17.593,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-F-01\0
profile_only,SC-F-02,0,run-4606fbd807ba4650,True,recommendation,False,5,44,18,0,1,1,0,1,recommendation,19.786,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-F-02\0
profile_only,SC-F-03,0,run-f6dab0a15f9b5781,True,recommendation,False,5,43,18,0,1,1,0,1,recommendation,16.057,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-F-03\0
profile_only,SC-F-04,0,run-16c8c4cbda3a67ff,True,recommendation,False,5,44,18,0,1,1,0,1,recommendation,20.598,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-F-04\0
profile_only,SC-G-01,0,run-8523f633636f6d18,True,clarification,,0,0,0,0,2,1,0,1,repeated_slot,0.783,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-G-01\0
profile_only,SC-G-02,0,run-30305b6133f1f798,True,clarification,,0,0,0,0,2,1,0,1,repeated_slot,0.728,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-G-02\0
profile_only,SC-H-01,0,run-4d6657cbd89092bb,True,recommendation,False,5,43,19,0,1,1,0,1,recommendation,20.406,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-H-01\0
profile_only,SC-H-02,0,run-be1afd4e17c162e6,True,recommendation,False,5,44,22,0,1,1,0,1,recommendation,18.807,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-H-02\0
profile_only,SC-H-03,0,run-a7583e178eec4bac,True,recommendation,False,5,45,13,0,1,1,0,1,recommendation,21.067,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-H-03\0
profile_only,SC-D-06,0,run-7723fb187967087a,True,clarification,,0,0,0,0,2,1,0,1,,1.013,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-06\0
profile_only,SC-D-07,0,run-5716b9905a089c47,True,clarification,,0,0,0,0,2,1,0,1,,0.857,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-07\0
profile_only,SC-D-08,0,run-104ac48542eed6a0,True,clarification,,0,0,0,0,2,1,0,1,,0.864,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-08\0
profile_only,SC-D-09,0,run-7681dc79a57abdbe,True,clarification,,0,0,0,0,2,1,0,1,,0.889,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-09\0
profile_only,SC-D-10,0,run-46ba30478584bb5d,True,clarification,,0,0,0,0,2,1,0,1,,0.823,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-10\0
profile_only,SC-D-11,0,run-d9dcabbe620c4ee5,True,clarification,,0,0,0,0,3,1,0,1,,0.758,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-11\0
