metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,estimand,scenario_count,total_run_count,repeats_per_scenario,valid_pairs,base_repeat_mean,other_repeat_mean,repeat_mean_delta,mcnemar,discordant_pairs
ndcg_at_5,full,profile_only,23,0.9596200678271656,0.42860565070916457,0.531014417118001,0.39469078874539093,0.6644270285922147,0.0001308020996998329,1.5678114107177765,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,profile_only,42,1.0,0.09523809523809523,0.9047619047619048,0.8095238095238095,0.9761904761904762,7.275957614183426e-12,1.0,rank_biserial,scenario_binary_majority_vote,42.0,84.0,1.0,42.0,1.0,0.09523809523809523,0.9047619047619048,"{'full_only': 38, 'other_only': 0, 'n_discordant': 38, 'p_value': 7.275957614183426e-12}",38.0
hcsr,full,profile_only,23,1.0,0.4434782608695652,0.5565217391304348,0.40869565217391307,0.6956521739130435,0.00011984765059027204,1.5837509252606394,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
ndcg_at_5,full,one_shot,21,0.9593445661919934,0.905531007964483,0.05381355822751051,0.0,0.1317282099988277,0.10880943004054568,0.3312285096911723,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,one_shot,42,1.0,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.5952380952380952,7.62939453125e-06,1.0,rank_biserial,scenario_binary_majority_vote,42.0,84.0,1.0,42.0,1.0,0.5714285714285714,0.42857142857142855,"{'full_only': 18, 'other_only': 0, 'n_discordant': 18, 'p_value': 7.62939453125e-06}",18.0
hcsr,full,one_shot,21,1.0,0.9523809523809523,0.047619047619047616,0.0,0.12380952380952381,0.17971249487899976,0.30984858300989715,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
ndcg_at_5,full,no_memory,28,0.9617358589357783,0.901750658303981,0.05998520063179719,0.005094911065107796,0.12451162132048575,0.043114446783075355,0.3668979911080605,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,no_memory,42,1.0,0.6904761904761905,0.30952380952380953,0.16666666666666666,0.4523809523809524,0.000244140625,1.0,rank_biserial,scenario_binary_majority_vote,42.0,84.0,1.0,42.0,1.0,0.6904761904761905,0.30952380952380953,"{'full_only': 13, 'other_only': 0, 'n_discordant': 13, 'p_value': 0.000244140625}",13.0
hcsr,full,no_memory,28,1.0,0.942857142857143,0.05714285714285715,0.007142857142857141,0.12142857142857143,0.06559969214707187,0.3745126703594156,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
ndcg_at_5,full,no_context,37,0.9570176505047516,0.6590287188249387,0.29798893167981283,0.23290316192924798,0.3685550931288212,1.1672933384862276e-06,1.3565814312113442,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,no_context,42,1.0,0.11904761904761904,0.8809523809523809,0.7857142857142857,0.9761904761904762,1.4551915228366852e-11,1.0,rank_biserial,scenario_binary_majority_vote,42.0,84.0,1.0,42.0,1.0,0.11904761904761904,0.8809523809523809,"{'full_only': 37, 'other_only': 0, 'n_discordant': 37, 'p_value': 1.4551915228366852e-11}",37.0
hcsr,full,no_context,37,1.0,0.6054054054054054,0.3945945945945946,0.3187837837837839,0.47027027027027035,6.142477957699739e-07,1.5683317882975278,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
