scenario_id,job_id,rater_1,rater_2,adjudicated,notes
SC-A-01,job-0049,2,2,,
SC-A-01,job-0153,2,2,,
SC-A-02,job-0101,1,2,2,
SC-A-02,job-0142,2,1,1,
SC-A-05,job-0089,1,0,1,
SC-A-05,job-0171,2,2,,
SC-B-04,job-0095,0,1,0,
SC-C-01,job-0012,1,1,,
SC-C-02,job-0095,1,0,0,
SC-C-02,job-0133,1,1,,
SC-C-03,job-0153,2,2,,
SC-D-01,job-0033,2,2,,
SC-D-02,job-0095,0,1,0,
SC-D-02,job-0112,1,1,,
SC-D-02,job-0133,1,1,,
SC-D-03,job-0014,0,1,0,
SC-D-03,job-0173,0,1,1,
SC-D-04,job-0019,1,1,,
SC-D-04,job-0128,2,2,,
SC-D-06,job-0049,2,2,,
SC-D-06,job-0153,2,2,,
SC-D-07,job-0101,2,1,2,
SC-D-07,job-0142,1,2,1,
SC-D-11,job-0033,1,1,,
SC-D-11,job-0153,2,1,2,
SC-D-11,job-0187,1,0,0,
SC-D-12,job-0033,1,1,,
SC-D-12,job-0128,1,1,,
