metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,estimand,subset,p_value_holm,scenario_count,total_run_count,repeats_per_scenario,valid_pairs,base_repeat_mean,other_repeat_mean,repeat_mean_delta,mcnemar,discordant_pairs,family
ndcg_at_5,full,no_context,37,0.923312133896793,0.644448641935008,0.27886349196178506,0.20927841049654453,0.35170343925413744,1.7256857880058036e-06,1.2561295450913703,cohens_dz,scenario_mean_over_repeats,all,5.177057364017411e-06,,,,,,,,,,primary
hcsr,full,no_context,37,1.0,0.6162162162162164,0.3837837837837837,0.3027027027027026,0.4648648648648647,9.279916091290494e-07,1.4771023314211036,cohens_dz,scenario_mean_over_repeats,all,4.639958045645247e-06,,,,,,,,,,primary
task_success,full,no_context,42,0.9285714285714286,0.11904761904761904,0.8095238095238095,0.6904761904761905,0.9285714285714286,1.1641532182693481e-10,1.0,rank_biserial,scenario_binary_majority_vote,all,6.984919309616089e-10,42.0,252.0,3.0,42.0,0.9365079365079365,0.11904761904761904,0.8174603174603176,"{'full_only': 34, 'other_only': 0, 'n_discordant': 34, 'p_value': 1.1641532182693481e-10}",34.0,primary
grounding,full,no_context,42,0.7027648561133665,0.7113762510524317,-0.008611394939065445,-0.047180772131187494,0.033023016277416446,0.4680472953712289,-0.06335871636421127,cohens_dz,scenario_mean_over_repeats,all,0.9360945907424578,,,,,,,,,,primary
mean_violation_count,full,no_context,37,0.0,0.4594594594594595,-0.4594594594594595,-0.5945945945945945,-0.3405405405405405,9.555738509621638e-07,-1.1418113935677086,cohens_dz,scenario_mean_over_repeats,all,4.639958045645247e-06,,,,,,,,,,primary
turn_count,full,no_context,42,1.4523809523809523,1.4523809523809523,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
ndcg_at_5,full,no_context,10,0.9411001402474384,0.5642778618867152,0.376822278360723,0.2081175161829313,0.5754632934987225,0.00390625,1.2374870486596636,cohens_dz,scenario_mean_over_repeats,context_dependent,0.01171875,,,,,,,,,,primary
hcsr,full,no_context,10,1.0,0.38,0.6199999999999999,0.48,0.76,0.001953125,2.5893341157121257,cohens_dz,scenario_mean_over_repeats,context_dependent,0.009765625,,,,,,,,,,primary
task_success,full,no_context,15,1.0,0.0,1.0,1.0,1.0,6.103515625e-05,1.0,rank_biserial,scenario_binary_majority_vote,context_dependent,0.0003662109375,15.0,90.0,3.0,15.0,1.0,0.0,1.0,"{'full_only': 15, 'other_only': 0, 'n_discordant': 15, 'p_value': 6.103515625e-05}",15.0,primary
grounding,full,no_context,15,0.7722904599636625,0.7555987598016584,0.016691700162004223,-0.03641804633275221,0.07205712049625092,0.550923682773407,0.15071877357229502,cohens_dz,scenario_mean_over_repeats,context_dependent,1.0,,,,,,,,,,primary
mean_violation_count,full,no_context,10,0.0,0.8400000000000002,-0.8400000000000002,-1.2,-0.58,0.001953125,-1.555674114723104,cohens_dz,scenario_mean_over_repeats,context_dependent,0.009765625,,,,,,,,,,primary
turn_count,full,no_context,15,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,context_dependent,1.0,,,,,,,,,,primary
response_turns,full,no_context,42,1.4523809523809523,1.4523809523809523,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,secondary
clarification_efficiency,full,no_context,42,-47620.5,-47620.5,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,secondary
response_turns,full,no_context,15,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,context_dependent,1.0,,,,,,,,,,secondary
clarification_efficiency,full,no_context,15,-1.3333333333333333,-1.3333333333333333,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,context_dependent,1.0,,,,,,,,,,secondary
