scope,variant,scenario_type,runs,fields,rule_fields,llm_fields,rule_share,llm_share,normalized_fields,repaired_fields,rule_fallback_fields,unresolved_fields,hybrid_runs,hybrid_fields,schema_failure_rate,fallback_rate
variant,full,(all),126,425,1,424,0.002352941176470588,0.9976470588235294,423,0,1,1,126,425,0.004705882352941176,0.002352941176470588
variant,no_context,(all),126,421,18,403,0.04275534441805225,0.9572446555819477,361,42,18,0,126,421,0.14251781472684086,0.04275534441805225
variant,no_memory,(all),126,424,0,424,0.0,1.0,387,37,0,0,126,424,0.08726415094339622,0.0
variant_scenario_type,full,ambiguous_role,6,18,0,18,0.0,1.0,18,0,0,0,6,18,0.0,0.0
variant_scenario_type,full,clarification,15,15,0,15,0.0,1.0,15,0,0,0,15,15,0.0,0.0
variant_scenario_type,full,complete,18,87,0,87,0.0,1.0,87,0,0,0,18,87,0.0,0.0
variant_scenario_type,full,multiple_hard,15,75,0,75,0.0,1.0,75,0,0,0,15,75,0.0,0.0
variant_scenario_type,full,no_match,9,36,0,36,0.0,1.0,36,0,0,0,9,36,0.0,0.0
variant_scenario_type,full,preference_change,36,99,0,99,0.0,1.0,99,0,0,0,36,99,0.0,0.0
variant_scenario_type,full,profile_dialogue_conflict,15,60,0,60,0.0,1.0,60,0,0,0,15,60,0.0,0.0
variant_scenario_type,full,soft_tradeoff,12,35,1,34,0.02857142857142857,0.9714285714285714,33,0,1,1,12,35,0.05714285714285714,0.02857142857142857
variant_scenario_type,no_context,ambiguous_role,6,18,0,18,0.0,1.0,16,2,0,0,6,18,0.1111111111111111,0.0
variant_scenario_type,no_context,clarification,15,15,0,15,0.0,1.0,14,1,0,0,15,15,0.06666666666666667,0.0
variant_scenario_type,no_context,complete,18,87,0,87,0.0,1.0,85,2,0,0,18,87,0.022988505747126436,0.0
variant_scenario_type,no_context,multiple_hard,15,75,10,65,0.13333333333333333,0.8666666666666667,54,11,10,0,15,75,0.28,0.13333333333333333
variant_scenario_type,no_context,no_match,9,36,0,36,0.0,1.0,31,5,0,0,9,36,0.1388888888888889,0.0
variant_scenario_type,no_context,preference_change,36,97,3,94,0.030927835051546393,0.9690721649484536,83,11,3,0,36,97,0.14432989690721648,0.030927835051546393
variant_scenario_type,no_context,profile_dialogue_conflict,15,60,5,55,0.08333333333333333,0.9166666666666666,53,2,5,0,15,60,0.11666666666666667,0.08333333333333333
variant_scenario_type,no_context,soft_tradeoff,12,33,0,33,0.0,1.0,25,8,0,0,12,33,0.24242424242424243,0.0
variant_scenario_type,no_memory,ambiguous_role,6,18,0,18,0.0,1.0,18,0,0,0,6,18,0.0,0.0
variant_scenario_type,no_memory,clarification,15,15,0,15,0.0,1.0,14,1,0,0,15,15,0.06666666666666667,0.0
variant_scenario_type,no_memory,complete,18,87,0,87,0.0,1.0,77,10,0,0,18,87,0.11494252873563218,0.0
variant_scenario_type,no_memory,multiple_hard,15,75,0,75,0.0,1.0,61,14,0,0,15,75,0.18666666666666668,0.0
variant_scenario_type,no_memory,no_match,9,36,0,36,0.0,1.0,35,1,0,0,9,36,0.027777777777777776,0.0
variant_scenario_type,no_memory,preference_change,36,99,0,99,0.0,1.0,94,5,0,0,36,99,0.050505050505050504,0.0
variant_scenario_type,no_memory,profile_dialogue_conflict,15,60,0,60,0.0,1.0,60,0,0,0,15,60,0.0,0.0
variant_scenario_type,no_memory,soft_tradeoff,12,34,0,34,0.0,1.0,28,6,0,0,12,34,0.17647058823529413,0.0
