variant,component,median_ms,p95_ms,mean_ms,n
full,explanation,1.678,2.81675,1.6819523809523813,126
full,filtering,1.8450000000000002,3.36875,2.113873015873016,126
full,intent_extraction,23935.677,89407.81599999999,35506.37374603175,126
full,memory_merge,0.51,0.86225,0.6195317460317461,126
full,ranking,7.649,14.872,7.018523809523809,126
full,retrieval,6.8035,12.40025,7.473214285714286,126
full,total,23956.884,89437.53425,35525.96721428572,126
no_context,explanation,1.7255,2.87,2.5667698412698416,126
no_context,filtering,0.5275000000000001,1.0202499999999999,0.6148095238095238,126
no_context,intent_extraction,45988.357,324334.55,85780.80196825399,126
no_context,memory_merge,0.406,0.6635,0.776984126984127,126
no_context,ranking,14.5505,22.073,16.228373015873014,126
no_context,retrieval,6.574999999999999,10.94175,7.168468253968253,126
no_context,total,46015.5995,324358.548,85808.77875396825,126
no_memory,explanation,1.552,2.9888,1.5462857142857145,105
no_memory,filtering,1.787,3.3187999999999995,2.311009523809524,105
no_memory,intent_extraction,36260.4025,171535.29325,58255.3532936508,126
no_memory,memory_merge,0.4575,0.909,0.5958095238095237,126
no_memory,ranking,7.371,18.2896,8.563514285714286,105
no_memory,retrieval,6.791,13.363199999999997,7.749438095238095,105
no_memory,total,42462.578,204279.77575,64189.9487142857,126
