metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,estimand,subset,p_value_holm,scenario_count,total_run_count,repeats_per_scenario,valid_pairs,base_repeat_mean,other_repeat_mean,repeat_mean_delta,mcnemar,discordant_pairs,family
ndcg_at_5,full,no_memory,29,0.930139388124511,0.871449023252282,0.05869036487222898,0.007669240069598743,0.12378819054659429,0.06297905121445523,0.3622609791534491,cohens_dz,scenario_mean_over_repeats,all,0.2519162048578209,,,,,,,,,,primary
hcsr,full,no_memory,29,1.0,0.9471264367816092,0.05287356321839078,0.006896551724137926,0.11724137931034478,0.06559969214707187,0.3488081594972878,cohens_dz,scenario_mean_over_repeats,all,0.2519162048578209,,,,,,,,,,primary
task_success,full,no_memory,42,0.9285714285714286,0.6666666666666666,0.2619047619047619,0.14285714285714285,0.40476190476190477,0.0009765625,1.0,rank_biserial,scenario_binary_majority_vote,all,0.0048828125,42.0,252.0,3.0,42.0,0.9365079365079365,0.6666666666666666,0.2698412698412698,"{'full_only': 11, 'other_only': 0, 'n_discordant': 11, 'p_value': 0.0009765625}",11.0,primary
grounding,full,no_memory,35,0.6961091557836828,0.8710960345667992,-0.17498687878311636,-0.229551429813533,-0.12334589624864169,1.5677314219469213e-05,-1.0598942251568808,cohens_dz,scenario_mean_over_repeats,all,9.406388531681527e-05,,,,,,,,,,primary
mean_violation_count,full,no_memory,29,0.0,0.05287356321839081,-0.05287356321839081,-0.11724137931034481,-0.006896551724137933,0.06559969214707187,-0.3488081594972879,cohens_dz,scenario_mean_over_repeats,all,0.2519162048578209,,,,,,,,,,primary
turn_count,full,no_memory,42,1.4523809523809523,1.4523809523809523,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,primary
ndcg_at_5,full,no_memory,9,0.9605914586181407,0.7959536086493431,0.16463784996879768,0.015767845185178264,0.3310986229959231,0.125,0.6463947699915088,cohens_dz,scenario_mean_over_repeats,memory_dependent,0.5,,,,,,,,,,primary
hcsr,full,no_memory,9,1.0,0.8518518518518519,0.1481481481481481,0.0,0.3111111111111111,0.25,0.6005031321480598,cohens_dz,scenario_mean_over_repeats,memory_dependent,0.75,,,,,,,,,,primary
task_success,full,no_memory,16,0.9375,0.375,0.5625,0.3125,0.8125,0.00390625,1.0,rank_biserial,scenario_binary_majority_vote,memory_dependent,0.0234375,16.0,96.0,3.0,16.0,0.9583333333333333,0.375,0.5833333333333333,"{'full_only': 9, 'other_only': 0, 'n_discordant': 9, 'p_value': 0.00390625}",9.0,primary
grounding,full,no_memory,9,0.6452057360914698,0.8208248541581874,-0.1756191180667178,-0.26508316402501664,-0.08432060817253523,0.03125,-1.1853031942765893,cohens_dz,scenario_mean_over_repeats,memory_dependent,0.15625,,,,,,,,,,primary
mean_violation_count,full,no_memory,9,0.0,0.14814814814814817,-0.14814814814814817,-0.3111111111111111,0.0,0.25,-0.6005031321480601,cohens_dz,scenario_mean_over_repeats,memory_dependent,0.75,,,,,,,,,,primary
turn_count,full,no_memory,16,1.875,1.875,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,primary
response_turns,full,no_memory,42,1.4523809523809523,1.4523809523809523,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,all,1.0,,,,,,,,,,secondary
clarification_efficiency,full,no_memory,42,-47620.5,-47787.333333333336,166.83333333333334,71.5,286.0,0.0081509715935027,0.4418575508442684,cohens_dz,scenario_mean_over_repeats,all,0.0163019431870054,,,,,,,,,,secondary
response_turns,full,no_memory,16,1.875,1.875,0.0,0.0,0.0,1.0,0.0,rank_biserial,scenario_mean_over_repeats,memory_dependent,1.0,,,,,,,,,,secondary
clarification_efficiency,full,no_memory,16,-1.875,-439.8125,437.9375,187.6875,688.1875,0.0081509715935027,0.8539125638299664,cohens_dz,scenario_mean_over_repeats,memory_dependent,0.0163019431870054,,,,,,,,,,secondary
