scenario_type,variant,ndcg_at_5,hcsr,task_success,grounding,response_turns,clarification_efficiency
ambiguous_role,full,0.48971036135272217,1.0,0.0,0.7029454022988506,1.0,-1000001.0
ambiguous_role,no_context,0.39633566947358695,0.8,0.0,0.7190669371196756,1.0,-1000001.0
ambiguous_role,no_memory,0.48971036135272217,1.0,0.0,0.834051724137931,1.0,-1000001.0
clarification,full,0.9714684980353964,1.0,1.0,0.6772107688576279,2.0,-2.0
clarification,no_context,0.7558506547047775,0.76,0.2,0.6359272264238307,2.0,-2.0
clarification,no_memory,0.9572027470530944,0.96,0.8,0.9818181818181818,2.0,-2.0
complete,full,0.931781934539631,1.0,1.0,0.4186456176673568,1.0,-1.0
complete,no_context,0.616535803308475,0.6333333333333334,0.0,0.4856606088490147,1.0,-1.0
complete,no_memory,0.9200364778124864,1.0,0.8333333333333334,0.7785298437472351,1.0,-1.0
multiple_hard,full,0.9142741164795805,1.0,1.0,0.7873626373626375,1.0,-1.0
multiple_hard,no_context,0.412903785375764,0.12000000000000002,0.0,0.7741171807258764,1.0,-1.0
multiple_hard,no_memory,0.9142741164795805,1.0,1.0,0.8371794871794872,1.0,-1.0
no_match,full,,,1.0,1.0,1.0,-1.0
no_match,no_context,,0.0,0.0,0.9050024050024049,1.0,-1.0
no_match,no_memory,,,1.0,1.0,1.0,-1.0
preference_change,full,0.9330833330870844,1.0,0.9444444444444445,0.648607920127577,2.1666666666666665,-2.1666666666666665
preference_change,no_context,0.6063868083343065,0.5666666666666668,0.0,0.6713705738705739,2.1666666666666665,-2.1666666666666665
preference_change,no_memory,0.6736621380533432,0.7333333333333334,0.16666666666666666,0.8109401709401709,2.1666666666666665,-586.0833333333334
profile_dialogue_conflict,full,0.9590543575154742,1.0,1.0,0.7627082494090167,1.0,-1.0
profile_dialogue_conflict,no_context,0.5968727366064522,0.4800000000000001,0.2,0.7589875941150305,1.0,-1.0
profile_dialogue_conflict,no_memory,0.9590543575154742,1.0,1.0,0.8143706535010884,1.0,-1.0
soft_tradeoff,full,1.0,1.0,1.0,0.9196640316205533,1.0,-1.0
soft_tradeoff,no_context,0.9152099486815959,0.9500000000000001,0.75,0.9772727272727273,1.0,-1.0
soft_tradeoff,no_memory,1.0,1.0,1.0,0.9818840579710145,1.0,-1.0
