scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,evidence_resolution_rate,abstention_rate,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-A-01,full,complete,easy,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,31067.777000000002,1.0,1.0,14.0,-1.0
SC-A-01,no_context,complete,easy,none,medium,0.6548086577531306,0.6,1.8,0.6,0.4000000000000001,0.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,74984.82133333334,0.0,0.75,14.0,-1.0
SC-A-01,no_memory,complete,easy,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.7857142857142857,1.0,0.0,1.0,1.0,1.0,1.0,17398.942,1.0,1.0,22.0,-1.0
SC-A-02,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.47826086956521746,1.0,0.0,1.0,1.0,1.0,1.0,16743.486333333334,1.0,1.0,11.0,-1.0
SC-A-02,no_context,complete,easy,none,medium,0.5087403079104241,0.4000000000000001,1.2,0.4000000000000001,0.6,0.0,0.20000000000000004,1.0,0.42857142857142855,1.0,0.0,1.0,1.0,1.0,1.0,15258.203666666668,0.0,0.75,9.0,-1.0
SC-A-02,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7391304347826088,1.0,0.0,1.0,1.0,1.0,1.0,30874.770666666667,1.0,1.0,17.0,-1.0
SC-A-03,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.2857142857142857,1.0,0.0,1.0,1.0,1.0,1.0,17814.189333333332,1.0,1.0,8.0,-1.0
SC-A-03,no_context,complete,easy,none,medium,0.8687949224876581,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,1.0,0.4523809523809524,1.0,0.0,1.0,1.0,1.0,1.0,73891.92133333333,0.0,0.75,12.666666666666666,-1.0
SC-A-03,no_memory,complete,easy,none,medium,0.7586243475510317,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7775742775742777,1.0,0.0,1.0,1.0,1.0,1.0,37517.185333333335,1.0,1.0,15.333333333333334,-1.0
SC-A-04,full,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.4583333333333333,1.0,0.0,1.0,1.0,1.0,1.0,21997.754,1.0,1.0,11.0,-1.0
SC-A-04,no_context,complete,medium,none,medium,0.5147714448836774,0.6,1.8,0.6,0.4000000000000001,0.10000000000000002,0.20000000000000004,1.0,0.5217391304347826,1.0,0.0,1.0,1.0,1.0,1.0,231182.86833333332,0.0,0.75,12.0,-1.0
SC-A-04,no_memory,complete,medium,none,medium,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,87940.91133333334,0.0,0.25,6.0,-1.0
SC-A-05,full,complete,easy,none,medium,0.9075755242149839,0.8666666666666667,2.6,1.0,0.0,0.0,0.0,1.0,0.45623188405797105,1.0,0.0,1.0,1.0,1.0,1.0,16777.606333333333,1.0,1.0,11.0,-1.0
SC-A-05,no_context,complete,easy,none,medium,0.6608397947263838,0.8000000000000002,2.4,0.8000000000000002,0.4000000000000001,0.10000000000000002,0.20000000000000004,1.0,0.49275362318840576,1.0,0.0,1.0,1.0,1.0,1.0,97829.44966666668,0.0,0.75,11.333333333333334,-1.0
SC-A-05,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7391304347826088,1.0,0.0,1.0,1.0,1.0,1.0,26980.820333333337,1.0,1.0,17.0,-1.0
SC-A-06,full,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,1.0,1.0,22410.702,1.0,1.0,9.0,-1.0
SC-A-06,no_context,complete,medium,none,medium,0.49125969208957576,0.6,1.8,0.6,0.4000000000000001,0.10000000000000002,0.20000000000000004,1.0,0.5185185185185185,1.0,0.0,1.0,1.0,1.0,1.0,95473.31233333332,0.0,0.75,14.0,-1.0
SC-A-06,no_memory,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.6296296296296297,1.0,0.0,1.0,1.0,1.0,1.0,19903.513,1.0,1.0,17.0,-1.0
SC-B-01,full,clarification,medium,none,low,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.5161290322580645,1.0,0.0,1.0,1.0,2.0,2.0,10755.042666666666,1.0,1.0,16.0,-2.0
SC-B-01,no_context,clarification,medium,none,low,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.7741935483870966,1.0,0.0,1.0,1.0,2.0,2.0,31934.455333333335,1.0,1.0,24.0,-2.0
SC-B-01,no_memory,clarification,medium,none,low,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,43467.476,1.0,1.0,23.0,-2.0
SC-B-02,full,clarification,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7142857142857143,1.0,0.0,1.0,1.0,2.0,2.0,12861.970333333333,1.0,1.0,15.0,-2.0
SC-B-02,no_context,clarification,medium,none,low,0.529634717214042,0.6,1.8,0.6,0.4000000000000001,0.0,0.4000000000000001,1.0,0.6363636363636364,1.0,0.0,1.0,1.0,2.0,2.0,33521.65733333333,0.0,0.75,14.0,-2.0
SC-B-02,no_memory,clarification,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,24218.985,1.0,1.0,16.0,-2.0
SC-B-03,full,clarification,hard,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.9047619047619048,1.0,0.0,1.0,1.0,2.0,2.0,23217.665666666668,1.0,1.0,19.0,-2.0
SC-B-03,no_context,clarification,hard,none,low,0.8539316501572934,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,1.0,0.6999999999999998,1.0,0.0,1.0,1.0,2.0,2.0,64261.614,0.0,0.75,14.0,-2.0
SC-B-03,no_memory,clarification,hard,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,41839.74533333333,1.0,1.0,21.0,-2.0
