experiment_variant,scenario_id,run_index,run_id,success,response_type,no_match,returned,eligible,claims,dropped_claims,response_turns,session_count,legacy_rule_reparse_turns,candidate_state_version,termination_reason,total_latency_ms,run_dir
full,SC-A-01,0,run-5666f4cf16ada7ef,True,recommendation,False,5,28,14,14,1,1,0,1,recommendation,23529.273,artifacts\main_hybrid\runs\exp-2b33b808a0f8\full\SC-A-01\0
full,SC-A-01,1,run-b092f115d5e62166,True,recommendation,False,5,28,14,14,1,1,0,1,recommendation,52385.152,artifacts\main_hybrid\runs\exp-2b33b808a0f8\full\SC-A-01\1
full,SC-A-01,2,run-b2e669dbbe4fc670,True,recommendation,False,5,28,14,14,1,1,0,1,recommendation,17288.906,artifacts\main_hybrid\runs\exp-2b33b808a0f8\full\SC-A-01\2
full,SC-A-02,0,run-0cf7e0daf535a696,True,recommendation,False,5,25,11,12,1,1,0,1,recommendation,18735.956,artifacts\main_hybrid\runs\exp-2b33b808a0f8\full\SC-A-02\0
full,SC-A-02,1,run-7d86c321e8400460,True,recommendation,False,5,25,11,12,1,1,0,1,recommendation,15656.213,artifacts\main_hybrid\runs\exp-2b33b808a0f8\full\SC-A-02\1
full,SC-A-02,2,run-8edfe902496d790d,True,recommendation,False,5,25,11,12,1,1,0,1,recommendation,15838.29,artifacts\main_hybrid\runs\exp-2b33b808a0f8\full\SC-A-02\2
full,SC-A-03,0,run-f1c7a1720441050f,True,recommendation,False,5,28,8,20,1,1,0,1,recommendation,19475.391,artifacts\main_hybrid\runs\exp-2b33b808a0f8\full\SC-A-03\0
full,SC-A-03,1,run-6ea4b87277a7d89d,True,recommendation,False,5,28,8,20,1,1,0,1,recommendation,16732.974,artifacts\main_hybrid\runs\exp-2b33b808a0f8\full\SC-A-03\1
full,SC-A-03,2,run-2ca84da882aaf57d,True,recommendation,False,5,28,8,20,1,1,0,1,recommendation,17234.203,artifacts\main_hybrid\runs\exp-2b33b808a0f8\full\SC-A-03\2
full,SC-A-04,0,run-326bfbb0f8ea7d96,True,recommendation,False,5,24,11,13,1,1,0,1,recommendation,25335.778,artifacts\main_hybrid\runs\exp-2b33b808a0f8\full\SC-A-04\0
