run_id,scenario_id,variant,repeat_index,scenario_type,difficulty,memory_dependency,context_dependency,response_type,success_run,returned_count,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,grounded_claim_count,evidence_resolution_rate,abstention_rate,unsupported_delivered_count,semantic_validator_present,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,no_match_expected,no_match_returned,clarification_expected,clarification_target,clarification_asked,clarification_asked_slots,clarification_answered,clarification_repeated_slot,clarification_reason_code,response_turns,termination_reason,acceptable_slots,failure_injected,failure_detected,recoverable,recovered,clarification_efficiency
run-e37f9a27f20b2bb7,SC-A-01,full,0,complete,easy,none,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.7857142857142857,22,1.0,0.0,0,True,1.0,1.0,1,12089.323,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-e91ad98beec1c1ee,SC-A-02,full,0,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7391304347826086,17,1.0,0.0,0,True,1.0,1.0,1,43880.697,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-9b8dfa4504b16652,SC-A-03,full,0,complete,easy,none,medium,recommendation,True,3,0.7227265726449517,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7777777777777778,14,1.0,0.0,0,True,1.0,1.0,1,150130.008,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-31647a0b1da7ef1a,SC-A-04,full,0,complete,medium,none,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.4583333333333333,11,1.0,0.0,0,True,1.0,1.0,1,78578.797,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-05257d049e234cf2,SC-A-05,full,0,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.30434782608695654,7,1.0,0.0,0,True,1.0,1.0,1,151619.138,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-e8fb8e539c68599f,SC-A-06,full,0,complete,medium,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,27,1.0,0.0,0,True,1.0,1.0,1,356455.894,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-e12f20efbcffd356,SC-B-01,full,0,clarification,medium,none,low,recommendation,True,3,0.7227265726449518,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.7,14,1.0,0.0,0,True,1.0,1.0,2,13754.473,1,1.0,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-7563a4bc286474bf,SC-B-02,full,0,clarification,medium,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7142857142857143,15,1.0,0.0,0,True,1.0,1.0,2,30787.336,1,1.0,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-a82c955800b01646,SC-B-03,full,0,clarification,hard,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,21,1.0,0.0,0,True,1.0,1.0,2,9852.428,1,1.0,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-c43244d8a873ba12,SC-B-04,full,0,clarification,medium,none,low,recommendation,True,5,0.7020976466720958,0.4,1.4,1.0,0.0,0.0,0.0,1.0,0.7241379310344828,21,1.0,0.0,0,True,1.0,1.0,2,10111.839,1,1.0,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
