scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,evidence_resolution_rate,abstention_rate,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-A-01,full,complete,easy,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.7857142857142857,1.0,0.0,1.0,1.0,1.0,1.0,12089.323,1.0,1.0,22.0,-1.0
SC-A-02,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7391304347826086,1.0,0.0,1.0,1.0,1.0,1.0,43880.697,1.0,1.0,17.0,-1.0
SC-A-03,full,complete,easy,none,medium,0.7227265726449517,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,1.0,1.0,1.0,150130.008,1.0,1.0,14.0,-1.0
SC-A-04,full,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.4583333333333333,1.0,0.0,1.0,1.0,1.0,1.0,78578.797,1.0,1.0,11.0,-1.0
SC-A-05,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.30434782608695654,1.0,0.0,1.0,1.0,1.0,1.0,151619.138,1.0,1.0,7.0,-1.0
SC-A-06,full,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,356455.894,1.0,1.0,27.0,-1.0
SC-B-01,full,clarification,medium,none,low,0.7227265726449518,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.7,1.0,0.0,1.0,1.0,2.0,2.0,13754.473,1.0,1.0,14.0,-2.0
SC-B-02,full,clarification,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7142857142857143,1.0,0.0,1.0,1.0,2.0,2.0,30787.336,1.0,1.0,15.0,-2.0
SC-B-03,full,clarification,hard,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,9852.428,1.0,1.0,21.0,-2.0
SC-B-04,full,clarification,medium,none,low,0.7020976466720958,0.4,1.4,1.0,0.0,0.0,0.0,1.0,0.7241379310344828,1.0,0.0,1.0,1.0,2.0,2.0,10111.839,1.0,1.0,21.0,-2.0
