experiment_variant,scenario_id,run_index,run_id,success,response_type,no_match,returned,eligible,claims,dropped_claims,response_turns,session_count,legacy_rule_reparse_turns,candidate_state_version,termination_reason,total_latency_ms,run_dir
full,SC-A-01,0,run-e37f9a27f20b2bb7,True,recommendation,False,5,28,22,6,1,1,0,1,recommendation,12089.323,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-A-01\0
full,SC-A-02,0,run-e91ad98beec1c1ee,True,recommendation,False,5,25,17,6,1,1,0,1,recommendation,43880.697,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-A-02\0
full,SC-A-03,0,run-9b8dfa4504b16652,True,recommendation,False,3,3,14,4,1,1,0,1,recommendation,150130.008,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-A-03\0
full,SC-A-04,0,run-31647a0b1da7ef1a,True,recommendation,False,5,24,11,13,1,1,0,1,recommendation,78578.797,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-A-04\0
full,SC-A-05,0,run-05257d049e234cf2,True,recommendation,False,5,27,7,16,1,1,0,1,recommendation,151619.138,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-A-05\0
full,SC-A-06,0,run-e8fb8e539c68599f,True,recommendation,False,5,28,27,0,1,1,0,1,recommendation,356455.894,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-A-06\0
full,SC-B-01,0,run-e12f20efbcffd356,True,recommendation,False,3,3,14,6,2,1,0,1,recommendation,13754.473,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-B-01\0
full,SC-B-02,0,run-7563a4bc286474bf,True,recommendation,False,5,43,15,6,2,1,0,1,recommendation,30787.336,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-B-02\0
full,SC-B-03,0,run-a82c955800b01646,True,recommendation,False,5,43,21,0,2,1,0,1,recommendation,9852.428,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-B-03\0
full,SC-B-04,0,run-c43244d8a873ba12,True,recommendation,False,5,7,21,8,2,1,0,1,recommendation,10111.839,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-B-04\0
full,SC-B-05,0,run-5c0d5664f17d49ec,True,recommendation,False,5,43,19,0,2,1,0,1,recommendation,9781.151,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-B-05\0
full,SC-C-01,0,run-dd1b4928898fad84,True,recommendation,False,5,8,21,6,1,1,0,1,recommendation,13966.36,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-C-01\0
full,SC-C-02,0,run-a22080aca1a27541,True,recommendation,False,5,25,16,12,1,1,0,1,recommendation,44583.182,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-C-02\0
full,SC-C-03,0,run-71c2d1037922b2dd,True,recommendation,False,5,8,20,6,1,1,0,1,recommendation,23450.28,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-C-03\0
full,SC-C-04,0,run-41747529cb02b9b8,True,recommendation,False,3,3,10,7,1,1,0,1,recommendation,106282.524,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-C-04\0
full,SC-C-05,0,run-d4559cdc2876f394,True,recommendation,False,5,24,17,6,1,1,0,1,recommendation,41045.787,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-C-05\0
full,SC-D-01,0,run-f4d621b8a14364b6,True,recommendation,False,5,8,20,6,2,1,0,1,recommendation,120072.523,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-D-01\0
full,SC-D-02,0,run-4cb0c9eeaa49c968,True,recommendation,False,1,1,7,2,2,1,0,1,recommendation,116021.981,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-D-02\0
full,SC-D-03,0,run-d146adaa6ee7d522,True,recommendation,False,5,11,13,12,2,1,0,1,recommendation,60328.245,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-D-03\0
full,SC-D-04,0,run-0fea3e5d72f14bdc,True,recommendation,False,4,4,18,5,2,1,0,1,recommendation,14952.823,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-D-04\0
full,SC-D-05,0,run-3457b8d2e4c1d3ae,True,recommendation,False,5,24,14,6,2,1,0,1,recommendation,48441.851,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-D-05\0
full,SC-E-01,0,run-fd98631555cfdef5,True,recommendation,False,1,1,6,2,1,1,0,1,recommendation,98014.817,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-E-01\0
full,SC-E-02,0,run-298c22180b7df6be,True,no_match,True,0,0,6,0,1,1,0,1,no_match,15717.66,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-E-02\0
